Accession	AJ_F1_1	NOD_M1_1	C_F1_1	P_M1_1	NZO_F1_1	WSB_M1_1	B_F1_1	129_M1_1	B_M2_1	129_F2_1	Pool_1	AJ_F2_2	NOD_M2_2	C_F2_2	P_M2_2	NZO_F2_2	WSB_M2_2	B_F2_2	129_M2_2	NZO_M1_2	WSB_F1_2	Pool_2	AJ_M1_3	NOD_F1_3	C_M1_3	P_F1_3	NZO_M1_3	WSB_F1_3	B_M1_3	129_F1_3	C_F2_3	P_M2_3	Pool_3	AJ_M2_4	NOD_F2_4	C_M2_4	P_F2_4	NZO_M2_4	WSB_F2_4	B_M2_4	129_F2_4	AJ_F1_4	NOD_M1_4	Pool_4
sp|P17710|HXK1_MOUSE	359087	275893	328607	246551	321038	381047	389663	271077	365892	318820	321041	367226	405505	317043	309324	293001	369030	304297	269677	219967	379942	321041	223663	269805	300498	291534	198900	360728	401587	570949	277352	305698	321041	291530	455196	315031	333886	202717	348616	371549	331628	342729	297687	321041
sp|Q8BL97|SRSF7_MOUSE	292674	295491	306539	343235	292699	306833	304148	305547	269070	297039	303753	216625	195834	244898	226587	313147	401329	404172	288453	392574	295922	303753	426403	224908	293030	275221	445901	269270	248348	290797	269810	264973	303753	315058	332952	278110	292722	333495	315821	310286	292937	313587	274187	303753
sp|O08539|BIN1_MOUSE	381780	432692	522204	340661	277458	280924	334234	340344	337220	392692	367400	395313	322348	540287	409782	292353	361386	343106	391000	272957	341317	367400	350408	293912	520004	346065	267481	293014	360547	402121	483384	365099	367400	350639	274487	522809	345655	300437	280396	350643	374222	374071	412944	367400
sp|Q9JIW9|RALB_MOUSE	422508	335867	356013	349239	398026	300952	416495	292299	335889	329358	356003	383880	361204	318656	323071	350364	401697	336210	380982	302392	358363	356003	370482	326016	343622	326845	297964	358915	429425	448808	358074	291483	356003	345079	342870	391658	411840	321624	320616	294515	342763	387175	354587	356003
sp|Q9D1N9|RM21_MOUSE	345470	413593	389554	360821	273395	486963	319978	327541	335247	294438	356190	329887	536375	380617	345277	305048	398018	351159	291456	335751	336178	356190	253346	385434	259205	381854	251913	290601	559732	477634	292275	425755	356190	302798	751689	323335	291982	276921	416086	409148	289912	317799	387272	356190
sp|P61804|DAD1_MOUSE	417403	386993	376934	344351	378877	433745	327437	331776	413773	305671	371852	444857	244066	414123	413146	366828	472279	316395	339547	324107	377863	371852	434814	256012	486710	390618	306838	342170	346859	336144	406484	385184	371852	436910	205490	430103	358908	345592	409062	435911	290773	395267	336511	371852
sp|Q3UBX0|TM109_MOUSE	237917	231749	234630	260467	208667	345933	220481	256613	282046	232762	249341	239972	213106	199189	230427	195754	300476	297374	266819	270048	232255	249341	257611	230706	210240	263333	257097	257039	235313	268495	234205	265138	249341	346982	156662	264697	208687	223860	239993	229200	207354	308295	251681	249341
sp|Q8BZA9|TIGAR_MOUSE	240827	304129	402133	431659	311647	232917	332969	301281	390484	290975	327778	229448	180181	417222	471057	434742	249349	352394	350762	402713	200526	327778	240836	189323	459506	444958	350034	208432	276661	269013	397407	447546	327778	249766	188256	477249	580201	372907	223872	329924	245396	237973	238109	327778
sp|A2AWP8|ARGAL_MOUSE	357389	338870	368638	315106	340902	289460	377524	320215	372853	376454	343804	385082	237282	390249	365395	364536	428322	286721	315510	338999	326173	343804	302865	237579	396992	352790	277811	342304	356980	390955	386871	390233	343804	426619	222579	407702	364382	294919	320353	312683	351326	356938	311612	343804
sp|Q8C0L8|COG5_MOUSE	329582	349199	341194	314983	375896	323151	340588	336224	318290	345004	337463	330173	254702	327514	357392	378077	401806	329698	314512	353379	316552	337463	350530	271852	329181	286248	657637	269703	293706	294945	308831	345866	337463	322031	231723	347572	343539	386386	292333	317091	337852	342477	382849	337463
sp|O35453|HEPS_MOUSE	229077	323993	359065	317062	262480	371240	244171	364925	260761	270190	302842	237478	239262	308859	315268	279320	341822	279115	352708	266534	336185	302842	259620	307291	343307	292012	290148	328803	247999	308186	336470	325196	302842	194196	122973	312280	479427	230823	326858	357942	290497	251542	367250	302842
sp|O70228|ATP9A_MOUSE	411027	413086	367744	349809	301765	307022	356656	411619	356887	403583	367543	379704	409542	364863	405878	322508	391581	325245	449992	259582	290064	367543	466148	512396	343937	288274	332794	229746	271948	459266	328441	409335	367543	485333	287582	375708	302846	348236	246857	306205	397149	393057	473236	367543
sp|Q9CQ56|USE1_MOUSE	475881	291220	265386	256707	304339	220985	317328	243997	249927	268696	292723	250579	242987	250832	355218	303926	298485	267592	350790	313268	238442	292723	195069	274223	393620	302811	249549	230263	291488	361276	240365	399778	292723	258368	177874	336938	292854	310983	325366	268741	258517	266042	356176	292723
sp|Q3V0K9|PLSI_MOUSE	179067	277468	572907	34635	116211	116252	103947	66205	71332	277285	186364	145588	258120	466838	61956	90838	137204	128835	76004	118585	505067	186364	127081	300860	211514	140184	117590	266069	130701	177032	307914	119220	186364	100686	241044	269140	113783	76318	322612	91930	231365	166739	261843	186364
tr|E9PYG6|E9PYG6_MOUSE	356596	311477	320786	342403	377559	261533	369529	292841	335154	306641	329254	355887	254257	292873	321631	353715	348343	358249	319301	356195	326288	329254	351768	331093	300939	314857	341384	295332	362240	367649	299730	321156	329254	325661	249256	306659	370196	366362	301411	304870	294780	344105	367106	329254
sp|Q91WK0|LRRF2_MOUSE	333502	391720	332233	316870	324376	346000	324106	306020	299078	281339	327493	321211	403008	334366	297579	293842	407705	306239	285810	313692	319789	327493	293788	353506	331655	250116	337714	330212	330222	375947	396805	305805	327493	327260	396499	341376	309950	308784	309005	309037	285953	356358	340722	327493
sp|P23198|CBX3_MOUSE	497823	309674	443326	372229	398976	319281	359437	259877	301185	353553	368185	444500	289462	458624	391534	400966	393392	314066	306499	359583	384628	368185	352323	307224	345608	424829	341634	349028	385448	354471	417261	396275	368185	408659	377574	371822	408724	262242	339895	309498	351354	506445	311338	368185
sp|Q9EQ61|PESC_MOUSE	304648	296201	291883	364667	310889	350211	303830	325656	744101	332061	349135	353845	361531	330323	366333	375852	416959	283814	316519	349243	345557	349135	330119	408834	332392	399796	321213	346628	306001	355088	307322	367770	349135	304096	490834	326392	423661	301268	371259	277794	339650	306247	393944	349135
sp|Q91WG0|EST2C_MOUSE	175756	568526	193574	137824	213204	582578	407220	498296	895384	197963	357602	181385	315719	413660	246934	217073	170773	647336	589595	436807	189785	357602	410927	282646	723364	187801	525568	196013	288002	223312	490607	325081	357602	401614	245988	369726	176268	398120	278952	733521	210529	223393	569444	357602
sp|P04441|HG2A_MOUSE	282838	121587	167148	217285	302250	166646	261507	172129	179702	171436	207179	310390	45767	195116	296985	443763	182817	213404	126603	167944	166074	207179	178907	84939	131830	219526	121972	164070	302616	415326	153297	263132	207179	310135	70123	204691	341231	110403	179801	169272	166849	293053	132479	207179
sp|Q62468|VILI_MOUSE	128264	140795	63649	157310	214559	147903	189005	209851	219897	79539	153284	97188	149382	151645	195682	233651	130537	160734	115853	103342	219732	153284	88786	52784	225899	154125	85705	163014	114508	299126	117540	210671	153284	166132	61222	159996	134946	146259	138111	202587	133931	169398	181723	153284
sp|Q8BXA5|CLP1L_MOUSE	182704	162465	250279	272448	217097	226378	149618	221245	141489	209646	208524	189535	152659	222415	281148	222418	224330	212775	193381	210336	180183	208524	179035	230205	203154	229554	180563	201517	187736	161231	315011	212865	208524	190100	101263	228987	289024	262788	207049	192075	174807	163067	206991	208524
sp|Q3UDR8|YIPF3_MOUSE	320398	393873	339338	388565	372157	323185	351814	352081	308871	295612	348741	352648	254484	359083	432508	360458	383775	327471	341041	373225	299529	348741	338276	320051	408855	403975	344632	297260	300438	315126	327312	418727	348741	335528	131004	413239	432374	367979	290425	323845	299657	321206	422532	348741
sp|Q60680|IKKA_MOUSE	440011	288418	303601	259111	424763	294778	276960	255848	264855	261666	311010	342315	195398	344945	350509	330045	368789	271152	298058	313087	289955	311010	289423	262812	316720	276670	305772	266001	309646	414302	333327	334031	311010	307138	169941	320981	342464	318243	355730	267313	291210	302942	351026	311010
sp|Q61194|P3C2A_MOUSE	362543	321288	235264	253827	342068	259089	388807	239576	350261	251202	298032	363527	393804	278098	253154	329194	326530	312936	211971	336285	251324	298032	345334	460962	293029	255014	332615	236369	330749	274477	231130	234083	298032	315420	386748	233386	246087	351060	213296	326296	227478	334075	373575	298032
sp|Q9CQV5|RT24_MOUSE	229785	254092	269764	303863	202032	177442	250432	220722	209996	173110	234999	276814	272110	359426	272705	226707	182554	292956	129297	242217	220510	234999	228124	295593	213437	276528	205772	221041	212382	209609	236872	243952	234999	199469	372938	247587	255769	223954	209968	216962	201975	214656	250106	234999
sp|Q9JHS9|CWC15_MOUSE	268630	270280	265616	234367	227603	368037	252859	243526	298544	311998	269388	265827	223583	210715	240324	296025	322221	298303	251709	273730	290256	269388	274423	276229	218338	301186	242026	278910	286989	283998	256763	260510	269388	275855	244787	244690	334137	263700	259981	241509	261542	293873	248189	269388
sp|P26262|KLKB1_MOUSE	329385	381161	292046	322512	451928	372998	317099	420407	531929	235262	361653	329132	216472	394919	352944	430239	263410	415984	444730	322067	392406	361653	336454	224995	534534	216887	337711	355379	393206	522926	375411	339994	361653	323097	379313	342987	298089	340405	345858	510128	255787	403235	434684	361653
sp|Q8K3C3|LZIC_MOUSE	348226	359540	335453	340434	533528	321840	316470	366169	310761	379471	363110	372783	325353	362393	374299	406069	356527	303417	337650	443506	387504	363110	231265	350427	400120	325705	419891	302451	317625	460362	457100	409555	363110	314080	336967	396123	356953	437551	325229	327670	342508	346103	403914	363110
sp|Q7TMC8|FCSK_MOUSE	393433	513235	195850	431556	324628	363581	330293	418225	498373	390809	380549	399272	316526	197404	513856	357227	374254	425260	432759	422286	310886	380549	436731	341595	309031	386089	407970	355652	374131	436868	203015	507678	380549	435393	312011	292254	343623	347789	371381	443625	389125	405992	464044	380549
sp|Q8JZY4|MRPP3_MOUSE	319356	258385	397548	463342	339139	301468	294349	301411	267654	366386	338278	350979	423270	364118	366506	397128	297547	246271	290364	421056	314878	338278	238852	402521	331921	444043	278716	336218	297074	322570	369991	363056	338278	269163	460533	352318	423935	319982	369932	230559	347884	317563	312816	338278
sp|Q5F2E7|NUFP2_MOUSE	383937	407096	351322	344381	400220	375568	378180	354832	405604	338310	372823	391574	333685	343058	345206	418607	421110	351019	361961	423133	333745	372823	391556	382688	385170	343704	404167	355426	395748	397173	330614	344047	372823	389597	261949	409734	329846	400247	310190	389457	335252	404885	423084	372823
sp|Q9JL15|LEG8_MOUSE	307826	365651	416961	380164	398795	513083	372192	380628	347243	323809	381859	314163	479775	341751	467948	338364	442171	341627	360422	410075	322791	381859	285627	455193	473955	405346	459245	339413	304834	303004	336135	492232	381859	321518	172758	471265	444708	507920	407113	360126	339576	306877	360876	381859
sp|Q78RX3|SIM12_MOUSE	172219	187826	199717	195909	190367	219228	139865	193172	153693	169490	184218	171746	218819	245589	185795	137215	200619	161881	173206	149752	205664	184218	209289	169817	178245	179718	184353	188195	150357	186609	191621	192039	184218	175144	178301	229910	183388	191766	172787	154632	156781	177960	194749	184218
sp|Q8K3H0|DP13A_MOUSE	278640	436248	346641	364999	293720	325165	306180	341666	255129	339415	331968	343570	385742	391165	307816	344419	353083	289100	313131	347325	271222	331968	277222	314636	278045	446163	366417	270166	290637	319264	327004	415365	331968	272586	321791	318477	438148	341964	257040	259981	327427	306355	422028	331968
sp|Q62188|DPYL3_MOUSE	346074	426103	314042	264286	397674	388559	346399	300917	327429	365499	344298	328732	569676	321875	313971	272041	377541	296207	324189	225016	419068	344298	304037	348227	267485	247176	261511	416636	320033	623718	342642	291133	344298	350367	527754	306626	285683	263043	355701	303238	305254	359933	456192	344298
tr|A0A087WRT4|A0A087WRT4_MOUSE	169295	188085	199278	191656	112734	179913	147754	129108	140039	125810	161577	127462	205141	138557	206825	120928	256865	137602	122386	157637	137884	161577	113291	181142	157382	235463	150586	38497	160416	151776	220009	212026	161577	178052	163446	157650	107954	99277	135455	162389	105022	304048	173384	161577
sp|P51175|PPOX_MOUSE	239155	360990	444276	407183	352338	364068	283483	371657	331566	359708	354775	409791	294662	425350	301429	379337	359479	338650	360247	394788	294332	354775	336196	294211	446073	425063	324151	310725	313134	361269	388598	332209	354775	404108	379295	398497	395529	350105	317758	341957	383607	248309	349079	354775
sp|O08917|FLOT1_MOUSE	300397	330781	458865	325799	353519	483879	402658	305871	369744	625112	385838	329651	398918	537493	322730	340548	614359	284994	281243	240777	502601	385838	198240	569614	356468	358456	248702	403418	456098	465318	554309	320373	385838	305938	505834	401890	370137	279493	431688	385768	546682	400316	322540	385838
sp|Q91ZR2|SNX18_MOUSE	380202	348542	261558	259174	357060	288201	448966	334560	384924	367848	336640	400768	304410	300591	305207	400922	322421	384370	287937	411954	299154	336640	387990	267408	290727	365065	359020	286930	326038	377270	294620	374400	336640	380087	285857	281100	371660	354636	250901	293476	301633	427656	358405	336640
sp|Q8BIJ7|RUFY1_MOUSE	335114	373959	426244	399399	352806	356307	378379	406964	360278	392932	379594	379816	283372	440988	400883	364317	413540	393012	398035	383016	310639	379594	386514	325312	421560	403430	339401	317341	400200	370024	432086	396323	379594	376702	325253	410754	401228	371212	326057	380461	388605	378515	397630	379594
sp|Q8VCX5|MICU1_MOUSE	450170	377128	338754	392161	438355	358503	302476	355234	251151	416402	372967	482713	250558	301373	325860	494060	455274	255810	345068	390962	430598	372967	419773	396530	236458	336721	399379	471117	402620	449980	291819	302700	372967	371519	249877	313368	429677	355270	395856	276177	409297	457519	388028	372967
sp|P10833|RRAS_MOUSE	310317	329949	310785	355786	306106	341242	347838	310971	304933	340168	326020	326976	397450	356869	270344	252982	400300	312209	339646	210369	346936	326020	318508	294007	295089	335035	270338	347716	351113	410252	319647	300288	326020	352785	321395	349990	331021	279174	310092	304320	314306	348359	331433	326020
sp|Q9QY06|MYO9B_MOUSE	337993	340963	315931	329033	331524	316400	383814	311722	360337	295459	331795	379403	239289	285494	373242	391505	379828	349943	282908	348898	305738	331795	357834	297824	313126	303316	334186	297549	346106	376510	298899	381254	331795	378857	234044	320253	352072	321606	299645	337142	293287	360021	362382	331795
sp|A2AJ88|PLPL7_MOUSE	302097	282686	377447	371849	248382	329103	282945	358787	289631	337262	320862	282540	350445	353087	333331	257899	311178	257465	407177	304405	290944	320862	330083	262885	380817	322229	278952	270183	269678	328396	391222	364602	320862	334461	374533	375962	345361	309526	252247	254162	339666	305491	311879	320862
sp|Q8R326|PSPC1_MOUSE	348149	365168	280276	337257	351306	281563	246077	281730	269575	325106	311649	334106	285402	252844	334554	377236	347248	258944	283375	338895	318626	311649	353271	267287	293806	361396	325122	292453	268750	324216	255620	335779	311649	303781	579870	269216	319490	264878	302929	260867	316282	310443	307195	311649
sp|Q9EQI8|RM46_MOUSE	258307	378847	417824	364267	210213	524298	239376	339142	383324	258060	337701	332718	596110	215669	221162	288084	404119	350745	287436	351484	346292	337701	246333	385760	337540	386867	218449	399074	281899	369866	348345	397232	337701	239924	608211	345030	369300	289384	364045	375505	270179	240221	398129	337701
sp|P11859|ANGT_MOUSE	413110	293777	342340	275733	337822	412479	359241	271975	350929	307294	334707	451352	394415	409535	274693	250479	436551	211146	210337	211427	580714	334707	286853	312931	353506	316689	209934	530225	328035	343791	409200	263528	334707	368397	511654	288068	291890	177454	514475	346720	288696	387475	288181	334707
sp|Q8VED9|LEGL_MOUSE	417089	383499	406984	247603	413470	244006	298273	360409	319550	368459	347173	420446	278017	406216	254594	387303	323023	357295	386160	327603	313647	347173	371310	351206	316014	327771	257347	366027	344226	563390	330225	200326	347173	349303	267660	331846	406797	371194	293917	306559	346208	361940	372424	347173
sp|P35821|PTN1_MOUSE	481055	354429	348280	261695	398565	339750	425013	275117	381682	407371	363032	438061	292682	367075	356051	415867	481089	316217	281316	368987	346117	363032	298916	306036	406585	365718	368129	345480	409637	418401	369009	358796	363032	385455	290615	344417	307199	239429	398903	379594	361860	506543	381084	363032
sp|Q91ZH7|ABHD3_MOUSE	331508	401195	332652	351365	376306	366052	333166	402119	386689	382164	364034	314238	240745	277264	467682	323435	322777	355760	463150	415912	378692	364034	352421	373451	348849	412422	372898	365359	282165	389613	276269	436821	364034	333856	199739	346300	363152	344248	435573	395878	420390	350125	403950	364034
sp|Q3UGP8|AG10B_MOUSE	231726	292951	247849	235253	279770	284673	278945	279257	289553	252411	264837	277683	224655	233648	239742	283950	272637	256071	319833	274475	215248	264837	286669	228899	269745	261548	282741	240214	289690	256111	262787	268562	264837	297691	196239	263357	245157	256098	247580	276759	226812	284896	313258	264837
sp|O88952|LIN7C_MOUSE	177565	256666	567354	148511	156056	206596	173841	184894	295870	184355	238192	190919	279025	254859	254931	202772	250116	264610	217214	222750	250677	238192	246592	260792	244034	204059	233374	232051	203037	253509	255915	250040	238192	243314	318938	273512	213398	253022	200583	184908	219174	205962	281476	238192
sp|Q99ME2|WDR6_MOUSE	276759	276443	433864	242456	313211	317203	300483	245337	369480	218365	299863	213373	383741	330912	314853	293871	436108	299726	200379	310961	243554	299863	229529	291902	339913	211798	292715	269520	404745	316315	341511	357816	299863	318265	398576	348760	251407	231270	362136	416294	231034	278624	242412	299863
tr|Q6XPS7|Q6XPS7_MOUSE	254760	778669	304008	293933	209432	620365	402056	252001	440812	255633	373051	324585	782213	195241	265191	225627	558209	323887	275633	254383	522886	373051	426862	757539	231546	288433	380847	488002	323479	334645	216182	290518	373051	368550	764691	205887	206699	245051	408162	314693	371040	454337	579863	373051
sp|Q9JIQ3|DBLOH_MOUSE	313115	305347	432714	527702	271223	410083	293870	241199	266531	271571	344679	348504	311822	422607	456648	291579	421372	293284	276703	236329	416145	344679	247626	343570	369060	481963	238095	371323	295108	247474	397107	452887	344679	291147	407729	419628	480433	231066	359423	274928	284662	340101	330346	344679
sp|Q9D787|PPIL2_MOUSE	281955	286555	281428	330856	280161	293073	294525	293398	307705	304809	295426	317230	275768	302321	315206	292630	329413	261051	283633	290295	289866	295426	299324	254033	327905	290204	259652	284106	302400	300891	334950	299850	295426	289432	247876	322437	319190	241159	295965	258129	308143	335938	293762	295426
sp|Q99MZ3|MLXPL_MOUSE	290351	363966	296984	421449	444400	283424	402212	325568	380679	301154	353057	331553	162221	271507	456813	435489	323664	387224	366417	405248	370207	353057	342137	204084	445518	378929	362586	319123	321700	278147	405695	475539	353057	342607	129251	405360	371108	394097	380536	369339	314035	340159	367730	353057
sp|Q9Z0W3|NU160_MOUSE	271277	343130	348591	297824	261272	322708	451488	295174	545775	405491	342106	357743	308511	424028	425488	286685	397531	265136	346184	265904	330944	342106	281105	299826	359731	410378	243818	319779	302385	368723	407233	414760	342106	294290	514638	383761	377378	257910	322536	323668	374595	316992	326628	342106
sp|O35387|HAX1_MOUSE	397607	424512	365023	297440	360457	336007	355068	404816	327676	384108	364531	445192	365610	373739	260235	345314	405580	327401	397026	340386	352383	364531	387893	421551	390651	304100	351957	353719	385505	369219	415033	284252	364531	381584	341619	406241	282564	384482	359461	340509	364456	381732	382932	364531
sp|Q8C0E2|VP26B_MOUSE	250721	249350	254801	199729	207414	269045	242527	223397	348236	298262	247691	268857	171826	216142	218893	275755	281690	216139	282105	270527	232822	247691	312415	245115	284773	202577	262843	219913	232298	254668	238133	215503	247691	288918	165465	285021	229963	306080	215489	218947	232479	241638	239273	247691
sp|P99025|GFRP_MOUSE	350568	363878	339639	407805	349679	355492	423322	350082	387344	421755	372769	276736	324965	366013	359385	330621	323434	383807	513649	341195	387104	372769	324493	327575	360112	420567	393828	371060	373482	433767	375680	340916	372769	338434	329486	357051	314136	337724	423951	366126	416418	439386	392491	372769
sp|P61021|RAB5B_MOUSE	411958	434540	370963	343773	367320	355867	410939	332149	394477	370563	377987	366623	392806	423286	416716	346671	357227	390688	363168	397633	352509	377987	373363	357707	393906	403819	371191	338708	371146	388631	389946	384706	377987	385882	285542	383881	355568	358666	377931	406094	366208	409033	408048	377987
sp|Q99LG2|TNPO2_MOUSE	277323	308281	327808	267758	252724	395859	280908	290120	324806	271756	297677	281971	290972	289312	309288	274878	357525	275419	290918	305614	283529	297677	356510	273394	407338	253123	298805	253697	292575	286314	279693	272273	297677	290976	326778	314800	292393	306137	301817	295113	291203	272817	297575	297677
sp|Q6VNB8|WDFY3_MOUSE	318442	313609	352539	433922	310029	332750	290406	315324	286076	310627	332381	338957	276645	350576	400331	298548	379902	314922	328634	296338	322634	332381	306940	299301	345278	345401	320082	288664	307218	330113	364245	417793	332381	352418	244542	381588	374410	267773	309662	300487	313672	371913	335188	332381
sp|Q8BH74|NU107_MOUSE	343337	327925	439570	427580	291760	339780	341600	370112	299890	402983	362676	369190	327465	448381	399018	315064	413815	298433	381575	271822	371947	362676	318586	319887	383694	391682	280564	371395	328906	426763	395964	394542	362676	338541	517479	397780	416396	322613	333794	299546	380132	343628	325010	362676
sp|Q9CT10|RANB3_MOUSE	391565	319138	315435	335650	338952	295901	347405	281008	330706	304759	327687	367314	271941	317286	391222	328298	356848	315171	297424	303444	342474	327687	282444	269179	331282	358296	295692	332553	328345	356677	332160	385295	327687	351331	303832	300614	390884	277602	344688	299761	317082	353591	317562	327687
sp|A6H8H2|DEN4C_MOUSE	331954	328676	280628	318284	316801	299822	321118	324587	351518	336943	319024	356643	313363	301180	286657	327420	339508	362412	304603	322565	277663	319024	283528	440507	339866	276555	290441	364264	312543	304644	233319	363650	319024	326455	297225	281817	269725	325575	270834	322161	288308	445106	331100	319024
sp|Q9D1G2|PMVK_MOUSE	339520	340929	89246	257960	520490	125804	403094	227902	307238	467118	300264	399988	151452	133158	129777	575516	251853	469396	281485	308383	295858	300264	357482	254702	195334	392544	316477	284366	451098	409648	135624	152321	300264	228061	141676	117672	409098	229495	378817	288918	468210	330101	381883	300264
sp|Q00977|CXB2_MOUSE	209771	191108	450227	207896	241601	220675	341634	206693	225313	279760	258820	331524	198332	565556	199045	220385	253582	204817	209376	197037	285603	258820	190636	179329	434992	304205	179712	272959	221125	207883	446209	175457	258820	274912	183600	422136	278503	172879	284030	233563	268554	227821	190691	258820
sp|Q62077|PLCG1_MOUSE	278303	392589	231830	244203	415950	459058	318445	394052	524091	282732	343238	320625	271765	281500	255237	375135	316787	417394	422306	378789	315195	343238	404166	374653	381114	212348	431731	332273	367851	406970	290942	246384	343238	351286	183405	353348	236764	445233	332422	397386	328456	328320	414971	343238
sp|Q9D281|NXP20_MOUSE	350498	390977	287591	282454	338021	281917	330421	409033	363490	347409	335150	355922	257332	260353	385830	288080	319722	371681	430829	373233	229297	335150	420804	304975	410701	301961	475668	221809	266246	278990	259154	402210	335150	426577	115549	404186	318328	425313	212974	261366	276839	399629	345525	335150
sp|O55135|IF6_MOUSE	388080	362559	322008	260422	316914	355400	310599	280930	408103	339378	329715	384299	317646	292065	329434	344660	379045	342246	256154	356113	340791	329715	342250	270169	285853	404155	397919	314484	315306	363227	236091	332669	329715	290912	315321	253438	323093	339561	430913	377087	363319	300028	343430	329715
sp|Q9R078|AAKB1_MOUSE	432021	250885	331208	317014	403770	255833	362983	225773	324454	296538	322975	367553	205037	359581	330175	383226	312147	302945	248132	421867	378858	322975	298285	249868	373054	314004	369473	337704	334841	301366	369994	301529	322975	224709	977508	198716	432526	224525	455931	211526	414455	238078	191363	322975
tr|Q7TNL5|Q7TNL5_MOUSE	324855	345919	299172	329833	301650	383522	318269	366124	368291	387020	338238	326589	257416	279347	357089	311715	372181	322957	399300	318195	359432	338238	328233	303891	322821	325095	319233	369919	323945	382953	282982	410062	338238	337214	216261	315755	356957	322188	372047	347099	371233	331722	369583	338238
sp|Q8BGV0|SYNM_MOUSE	205594	362426	185677	421137	218198	258401	209448	339710	286648	224241	275096	227774	336335	157227	424093	240263	237464	251094	335891	269291	231110	275096	290403	321958	198384	374980	288911	189335	251004	206543	182773	417737	275096	260625	364745	210719	363063	283921	211325	295524	219362	198549	374334	275096
sp|Q8K2C7|OS9_MOUSE	246015	249248	390317	288461	269754	277316	307818	235733	299199	241865	282808	275609	211533	379175	244901	284836	357894	290674	250881	240839	284617	282808	238552	279979	368905	229285	264311	287695	343807	247412	382414	235717	282808	281744	174375	341458	268591	294731	335423	296804	264217	267450	255699	282808
sp|O54788|DFFB_MOUSE	308707	590726	150880	410306	298243	188302	253130	200336	313833	317546	305247	310593	503759	271053	493439	421450	242686	186442	260222	205848	244006	305247	226792	278391	173245	774819	153711	264676	231308	241607	243355	349006	305247	327270	216138	168449	374535	135959	238693	324050	334822	314508	576829	305247
sp|P09602|HMGN2_MOUSE	359065	336199	318317	390121	437579	348216	353471	306473	250653	538694	363037	383879	255430	366227	397067	497052	393786	297665	277383	395567	431413	363037	327716	333483	254858	377715	338409	385575	390817	543204	304915	344151	363037	340245	511885	304169	455766	320770	312122	260175	474716	370953	337724	363037
sp|Q6QD59|SEC20_MOUSE	310694	376593	341931	309030	253318	325415	323010	297035	330512	332973	318755	335378	273193	353915	381463	265544	324927	318788	334109	273329	311640	318755	317530	278293	383998	319700	273389	298590	319272	311793	315987	365634	318755	290768	244809	368739	300926	221979	363132	332849	371653	292204	378905	318755
sp|Q8BWZ3|NAA25_MOUSE	336953	319137	342155	344196	290322	385504	285293	297165	401947	329593	331240	332322	370758	297807	382605	300628	365850	315188	304063	338723	318014	331240	320230	337377	364803	336353	321912	310363	266481	317668	338370	395579	331240	310163	471895	350452	348000	300764	290506	424893	280765	303863	305946	331240
sp|Q99LC8|EI2BA_MOUSE	340005	314980	381327	362205	324526	366902	240861	339454	316468	315930	333813	306004	268585	266314	373340	353706	391240	296080	367231	335528	320513	333813	390822	266989	371712	327272	365487	317758	242049	393975	256819	362856	333813	343763	297115	392422	334737	331569	322982	352600	288677	320343	324931	333813
sp|Q99N89|RM43_MOUSE	272641	317256	328030	292804	232527	375763	279551	260208	286955	215081	287728	273024	415036	272967	262490	264330	334573	243575	255111	290680	284885	287728	199174	330024	264187	284744	234643	370366	227722	401940	245151	313331	287728	278147	460179	278082	277560	269395	272887	282390	226439	277510	319845	287728
sp|Q8R3N6|THOC1_MOUSE	374797	307003	361336	335477	373087	310815	338465	332222	319460	313968	339358	413468	273726	379578	372666	361673	374226	304012	293105	321293	337591	339358	317676	298373	357898	375068	306117	333359	322765	366562	351952	351788	339358	369152	381796	347076	324874	314837	342478	285630	300113	416540	303064	339358
sp|Q8JZV7|NAGA_MOUSE	232039	373752	257798	519902	298259	260703	265500	341115	287569	308219	321424	234634	263833	273597	501769	313106	268398	350235	379775	354408	234958	321424	289413	251793	344394	357355	424234	245406	284703	295395	229052	490286	321424	298890	203122	371275	385951	449407	220566	280338	292355	288444	322420	321424
sp|Q6PEE2|CTIF_MOUSE	417803	362379	317560	360131	231765	316067	371441	346769	383838	324821	342698	498255	343324	291905	342289	318501	454910	315519	301404	290268	276297	342698	327111	515712	268510	266247	367776	255694	612461	304278	266947	311303	342698	469857	264442	312268	293582	305652	252624	355920	283328	486743	345739	342698
sp|Q9CPW9|MAP12_MOUSE	254363	159544	92539	301198	197195	148022	149638	205064	163662	224905	192955	267593	220953	87244	278503	186862	200446	175974	199274	175551	135697	192955	227572	257847	175406	199860	151619	182831	179354	181025	170103	189459	192955	158722	197385	84841	190106	109392	105711	134598	164154	589717	121919	192955
sp|Q811I0|ATPF1_MOUSE	169872	291524	306355	321569	261389	277527	290205	302022	264461	361755	283131	170256	559132	361065	319122	240374	216942	206741	270317	259461	285957	283131	128099	389801	296944	346026	243885	283734	232174	307184	314176	316684	283131	154726	697644	305961	294070	232127	285809	245422	320171	171225	313611	283131
sp|Q8CEI1|BOLA3_MOUSE	300990	329061	403385	387172	363916	428486	313223	307239	296734	347251	350785	307286	395613	337523	432126	315533	396807	303281	290466	359126	405934	350785	307257	406400	351226	411434	313363	371283	281137	280678	356625	427239	350785	296152	493067	395265	402434	355564	398693	303357	298767	275433	333389	350785
