"accessions"	"CC001_F_1_tmm"	"CC001_F_2_tmm"	"CC001_F_3_tmm"	"CC001_M_1_tmm"	"CC001_M_2_tmm"	"CC001_M_3_tmm"	"CC003_F_1_tmm"	"CC003_F_2_tmm"	"CC003_F_3_tmm"	"CC003_M_1_tmm"	"CC003_M_2_tmm"	"CC003_M_3_tmm"	"CC004_F_1_tmm"	"CC004_F_2_tmm"	"CC004_F_3_tmm"	"CC004_M_1_tmm"	"CC004_M_2_tmm"	"CC004_M_3_tmm"	"CC017_F_1_tmm"	"CC017_F_2_tmm"	"CC017_F_3_tmm"	"CC017_M_1_tmm"	"CC017_M_2_tmm"	"CC017_M_3_tmm"
"sp|Q8JZU0|NUD13_MOUSE"	64609.7073619699	63708.0568710343	73297.3360380167	71564.0430882203	86351.5297704524	75437.8002462255	57183.9685216295	66697.0529862986	68920.9527073761	63355.2394830215	68078.3776854578	58844.4140938624	83428.9608905741	97792.1604498889	85710.4237928243	182923.172179097	167025.900017997	189051.896342194	74389.9985651384	62001.8960848111	63296.3756392481	165488.553923422	145063.553683326	151024.927932909
"sp|Q8BVZ1|PLIN5_MOUSE"	90199.7365871296	119447.234249899	84166.3008177331	98248.8329862834	104410.523764582	125008.674180444	123504.59842188	111769.016733308	110259.61682806	94017.7896831915	102221.329213232	100530.446718916	130575.6716364	96702.4296154664	111540.26050503	76878.2039207301	83687.427832274	81156.762644709	137208.932584576	111787.434120187	116266.122449877	66101.1034686235	87044.6971168743	87457.2275323256
"sp|Q8R0P4|AAMDC_MOUSE"	82707.1161415132	73262.4901793849	82835.3095325332	90112.7105413355	82999.9255116069	88700.9347919051	97080.1318386047	91000.2407557364	96667.3498382154	109249.420342062	120414.996130368	110004.96073751	104353.582587707	110892.310881981	100455.988295116	111937.366433622	113168.773610791	101857.797843666	102565.257312892	85783.5939023371	110174.402314847	99454.9623584897	116460.453348589	105546.086691051
"tr|E9PYD1|E9PYD1_MOUSE"	130514.265479873	133165.031026078	147116.160394102	120073.095934454	124340.998978652	128322.106753071	92022.1470637605	92466.9951545198	79032.6350942281	119321.890212834	121864.931094971	97778.6308229748	82590.4358747004	96936.2338056877	88474.4327984666	105881.178192411	82841.08751768	94912.3702065447	83893.6938746032	83341.1903168251	89061.2499444446	88105.0199614381	78795.7921552672	81546.2616376092
"sp|O88448|KLC2_MOUSE"	99685.7974822298	108080.205535896	92453.6592081832	103147.423666913	107468.875980417	101485.497241002	89063.8202969935	94024.8918064069	108225.412614164	86681.3512917398	72306.592824986	66081.9916945529	87316.765013917	100426.015479729	97545.5694291672	82267.0993006387	80489.8145414793	104221.073660455	93260.4914798577	100879.622816254	93215.38087811	84338.252864306	73205.6744796091	77978.6252248185
"sp|Q9Z0H1|WDR46_MOUSE"	103510.330072133	111670.82622864	105845.861959914	79755.1464775655	79041.5561164957	75114.9208186186	120242.01196066	91596.9045754727	123808.306972849	111704.212370479	106024.437317111	110962.471951551	85758.4347229374	90101.0191315673	82536.4671783239	93589.845897186	100722.361225902	100802.255546838	80909.7517281473	101462.284178058	81311.9701757844	90323.9773842346	95133.458137951	93994.8861639712
"sp|O08811|ERCC2_MOUSE"	70209.2481309788	58831.8014988182	65613.7558653675	55722.1298208188	79730.4318248044	67371.039142259	58463.1011146364	57450.3534708466	65654.5436619993	68933.4656780958	60243.609307997	74631.9175207918	65762.1800076642	48830.5133976868	61792.281542334	63323.0593881907	72036.2411320621	53572.3307143214	54866.0330154784	59695.1213079126	58346.3145111366	62669.9102457219	58472.4319508108	48580.218258374
"sp|P97333|NRP1_MOUSE"	82345.030215842	96234.8011272059	85063.8348403912	90498.6344779705	116139.539113943	105374.679213666	99595.8184084852	81022.2836281742	94530.2300966333	90723.9355843638	83075.971061449	79957.2162785402	109095.954935136	110803.87190568	106561.279469895	97431.8350986217	96014.9004052393	95503.1891607419	125780.113309656	101961.398193756	118451.430115007	85803.6583032535	97033.3024013863	92563.0185986353
"sp|B8JK39|ITA9_MOUSE"	82163.9872530063	80354.0361221173	85459.9745902638	101434.555783766	89912.1427581346	86692.6038538451	84700.3991978251	74146.3424870564	83356.941590861	80289.2069506729	97487.5566743186	94254.0384457874	88320.0003007658	92717.5929821303	97700.3455672055	107037.819152001	113523.627099256	109061.518104481	78402.8125197988	76913.469819014	89122.6410419864	93382.8623147207	99990.4945454666	73622.8600260657
"sp|Q8VE99|CC115_MOUSE"	80426.3683814425	102027.631805064	80579.9921642973	139175.802134957	77642.4772785685	128653.34551861	123523.226566438	97471.3407260917	65391.2282578304	93323.072364072	131535.430499496	47666.1337030058	86030.0997153251	83455.8974294964	118049.224580368	68570.4077975202	94450.9893244972	130283.206151198	91423.067606162	90124.8008084381	104624.431689704	69173.887908693	90509.1775197776	83875.5532022277
"sp|Q8C167|PPCEL_MOUSE"	85959.9858976797	105582.748051717	80600.0862095807	65369.1709108389	74304.7358435744	78304.0082395131	73991.8772402805	71501.0975597707	84636.4319350619	115844.578591397	110627.478014954	80414.4804686268	70509.9000911632	53945.7424637447	78196.4606049544	52588.7437693371	60217.9489109663	64459.2631130064	89911.8452932795	52742.24606315	77975.3101725448	61166.7775664763	73446.387731835	61793.9092779792
"sp|Q9WUA5|EPM2A_MOUSE"	74806.1651003708	87074.654035961	93312.918858873	91236.6479239189	103288.701403683	120590.764083609	65288.0984590158	61002.7817546053	43685.3235853022	62976.2181038236	68908.4791658236	47263.7412157296	82126.2523837703	86556.3442998216	80598.6280986965	218749.721482486	186152.601343629	236113.015759226	61276.6958204448	61771.8696254026	58706.0448019959	128082.987989961	130301.465351575	118058.884553674
"sp|Q8BPG6|SUMF2_MOUSE"	85619.546413217	78168.644032519	91086.3072696134	113478.554584338	85464.3090439619	79465.9562120015	91916.5875779299	114188.525615116	104541.778456548	90101.8562691201	90603.5653228274	108672.492887598	90754.2897601134	73530.4012846256	75623.8302024269	76346.3917312682	79880.3708770795	80979.8220284778	91127.8819314588	108874.127311169	80340.4829831046	69000.1440388991	97160.6218075223	97486.3167399513
"sp|Q9WUN2|TBK1_MOUSE"	100861.592811516	96545.9321942586	102361.937251494	94352.587215051	85152.9286928379	83226.6133639673	97128.9198362576	97770.2025327802	100301.844149279	87515.7570798511	120255.009611575	97048.8371755966	103279.757184726	99634.1308528494	99972.8357561047	92619.2380989285	81274.2275159811	85917.8888814588	96270.101945853	93212.7975229503	105397.744111371	89070.0430553791	93245.5500688408	89751.4243036761
"sp|Q6PAC3|DCA13_MOUSE"	68196.1290985782	83736.3017759633	73726.0090040624	61220.2242605497	66997.9613028142	67580.0225905483	87651.6295285698	79044.7086945543	101335.635260717	82174.0700256029	79803.1039912845	80601.0442581821	70081.0116582993	68307.4189830744	64626.3581239801	62705.3079665915	62780.5612224025	58729.0310873582	71000.7108726228	66597.0001206365	70972.4169055776	75145.7129190382	66667.6240379543	65985.2303025619
"sp|Q9R226|KHDR3_MOUSE"	31846.8346635937	25978.0426076062	32928.3990636833	24564.8515612053	24541.4637012632	31571.1295330626	76740.8591443917	105968.766137541	82634.6785632287	57347.7040599122	59928.2073138052	76018.3425451344	107864.906091678	93973.0198296227	113499.015278987	117543.637518348	115704.845633616	112157.978888527	96296.8397787065	111923.0629288	97491.21697006	103184.995037437	91109.9659674818	75150.9875957939
"sp|Q9DCI9|RM32_MOUSE"	97173.8263728852	103451.546958782	101623.241872504	98111.3806252901	81561.3909442564	109118.617689769	112948.649838813	100026.503193915	88761.3975447359	90875.7303873349	102379.487314668	99276.6283096984	77914.3754545477	88929.9651005461	73199.7012296388	76935.8337587517	95892.0286987071	80179.5216550643	80552.5342812239	92766.8500002291	85605.0388565182	103003.308590738	74204.3360714883	100248.778324335
"sp|Q8BMJ3|IF1AX_MOUSE"	63234.1744160774	53531.3614285783	66715.1009187572	61721.3967152482	87331.5247796407	61348.1361625618	78096.2784246376	45325.2544271462	49687.8022000537	63912.130846069	55902.0322922956	60917.649931715	51922.2390568921	68572.7359119776	57824.5743280294	56989.8435045608	53723.4419904989	59924.9055970587	51642.5198866548	80979.0789860123	67014.3066693266	66751.4019527093	43264.7256975839	68432.8414559126
"sp|Q80V94|AP4E1_MOUSE"	82653.9839676376	78166.7753774616	70772.1843474038	77192.1886079679	74687.5630560865	80012.447929278	71847.8665070643	87169.0867444632	86913.5538809732	82891.137499761	82487.2206722909	77687.3568389504	84689.957056027	88930.9816405036	83132.5644667144	81635.1931819815	78422.6209507811	75990.9101708327	85143.954938835	86365.1702336718	97353.3562597906	85880.1056059628	73397.6482716735	75763.6424154159
"sp|Q8CIZ8|VWF_MOUSE"	84219.4152386784	78670.3779154238	96044.752158115	89175.9198348737	73678.7760281298	94390.509171581	116530.575921033	96959.4603976145	88846.696901016	100548.69123679	138163.443420919	109894.302803509	83649.2876166838	92673.8817639585	94230.4318779428	80938.5798767738	83182.1793750135	88558.7784237141	103634.770627034	92461.9564384659	86144.6342928071	72538.5620500163	77058.0811980831	71343.7038804015
"sp|Q99JV5|STAR4_MOUSE"	29740.2423623377	32209.0728964181	61863.824271767	20727.8160377855	24358.0478779984	42890.7180096519	170485.666052548	152037.995700486	159051.775787174	183382.090836035	180697.002202875	163379.580589557	122970.12139676	116945.806328797	111868.636906003	81537.1213523659	80104.4888697943	83494.615959166	98148.1673254861	138393.46624828	108861.494456891	86102.497759299	76592.5696193984	80279.8409548226
"sp|Q8R1T1|CHMP7_MOUSE"	108333.550745069	111970.745365348	117753.975938571	119011.540777244	101207.14508384	97568.1025028196	73570.5263514606	94923.596813754	72750.1520708181	65768.1249707406	76445.2155139901	77006.9477241016	100956.700635648	93402.7409134743	94066.2436774563	79295.6239682651	86262.8188011895	86505.6571353762	111565.211851396	87867.9374331094	89878.7208748703	74503.3570118572	86504.5843236568	91221.3947874172
"sp|Q8BNV1|TRM2A_MOUSE"	91546.7355877926	94581.975728959	107758.623699033	95800.0663088956	88186.7543741664	95054.0316198995	116237.847935117	105239.628112712	98849.9007586857	87944.1350514261	82386.6577176211	90691.0358766327	88211.9760321392	100907.855419576	98681.2916312586	92000.4756275393	104359.363739256	94896.0998050521	96553.5229741006	102161.043800035	90131.8245226306	105122.983802224	104162.194462141	102389.560713685
"sp|E9PZM4|CHD2_MOUSE"	80643.8167226744	92310.6255067216	90257.6671164983	97826.9599706194	88779.6566865807	79293.5448671629	104534.050825454	104091.871599791	117175.354855158	85541.4933847663	99752.9657804268	125433.969039411	103471.206136055	114836.485917018	108155.055377802	109886.957459803	102275.459596469	100943.604659805	96115.0225153024	104484.094033967	84781.1057052986	104207.601813938	91849.0153327868	89939.9334789444
"sp|O70496|CLCN7_MOUSE"	103424.728236444	101908.037881392	100534.335990004	97181.9911998049	101486.534302999	107800.977048305	109932.664529365	103971.055124747	113503.773867451	109620.060413121	110351.386993951	110521.669272308	97428.2643762508	111931.21471853	93060.1987802077	95745.4040491494	86830.9775721945	87036.4789840698	92013.4389555683	108767.794325216	101702.430854071	102380.809125819	88831.1475342198	90867.4387295996
"sp|Q9QUM0|ITA2B_MOUSE"	75863.8889321551	76047.7205424001	92066.1311920035	83198.8567833739	91186.4561813991	92599.5210197418	131017.063005913	71225.5512131784	96676.6215073763	94140.7155359043	86739.2052374683	94862.1998186025	56643.220460038	78245.113607435	70042.477170602	101762.161348556	126832.107377174	119828.456292158	56055.3318208042	72334.6412402221	55672.0321392696	97177.4284310198	97417.2499855152	90150.5022385526
"sp|Q8VED9|LEGL_MOUSE"	76233.8462909932	71403.1783972983	83853.4078268917	80427.6057205788	85179.5879694752	81855.6819431895	76975.9285876281	92016.5828572056	70881.9107349015	63465.1277452951	70023.8137539802	70912.5305986276	108928.036022518	109979.458000161	118190.405517092	122932.532898257	109923.977584687	102797.413529859	94974.9213224272	86091.7425555069	92548.6950995414	77634.7179566002	82065.3147175248	82804.660653363
"sp|Q61805|LBP_MOUSE"	199990.486397197	139656.738695394	188872.543352289	89931.9078203367	99559.6017876526	86071.9230124259	113675.147476589	65547.1768860962	88520.3341465531	93837.125929962	120794.392732077	100330.165003658	69552.6553345217	78342.7014433534	72346.3409009955	87871.3482857857	71241.9984210378	72030.0843074964	71054.1865383299	63742.2849569395	63265.1415720777	73911.6350324448	130039.86375928	87915.4652615682
"sp|Q9D6W8|BORC6_MOUSE"	84727.1226779348	79926.1141139788	77320.929391191	73903.9052026673	78554.2245395652	79126.3581085314	84801.5234111418	77251.5378544231	86539.9056137899	95764.8268020495	100351.772465052	89955.7550589735	96108.443114021	86285.944671131	81117.3373180679	69521.8056497704	73205.9797782489	77472.5336067456	77586.7738611085	76189.7544962523	76089.418737531	65642.4196523675	76065.3877033666	82585.067518343
"sp|Q99MK8|ARBK1_MOUSE"	69509.6745082824	94350.2625018447	63601.4807591307	69502.2576733212	102049.57822558	70667.7530390225	103018.961734708	89576.9378962233	113468.54152464	98934.8237917044	96087.9031870499	100038.430450383	100520.325372285	92299.7950596045	106386.633422243	103901.542703882	102951.745469223	106505.031269968	114828.296972843	87869.0224635783	107949.244288155	96545.0007449699	85839.1414900242	94464.1536853838
"sp|Q3UGP8|AG10B_MOUSE"	89760.9041880824	90313.0332503893	99105.745056285	95108.575200514	104217.510601727	98149.0764890638	92280.2799240691	89107.4493133757	89002.4609429187	85600.1625417429	94317.0809761816	89094.2693248503	122417.165487058	129215.443615625	109832.494063027	105438.338384456	100428.452103877	93613.7887874226	96780.2597966987	99088.2375120872	117712.582870907	103493.762714613	84462.5004111789	91419.9310464764
"sp|Q8R4R6|NUP35_MOUSE"	96163.3311401015	80711.8835656043	83734.7572737897	67863.4025999399	75329.5184375135	83090.7741225792	60397.7669851968	74433.5465636968	68114.3174903798	118579.678814258	80164.2164194172	81457.9573504044	57462.4936260574	83980.432047558	84038.2140311814	69961.6123083558	92943.1077419337	87652.7204405992	86303.3073713648	58792.3759577811	68257.2071353494	83866.6623605796	87034.7502882699	74848.1696653097
"sp|Q9D0R4|DDX56_MOUSE"	62392.9149963791	25754.7383282501	74582.3980768545	67750.2687335839	76952.5351991943	59281.2898589807	91803.931656077	169760.924754573	83370.8490946023	78071.8853195424	26910.6466696542	91694.2735096827	59984.4859569632	62700.1845775943	68063.8524870321	63711.3025074937	32136.3576132649	61541.7767453782	64088.4463233238	177913.531017317	70654.6910498786	76600.1973147415	20885.3560206035	60979.7100741608
"sp|A2BE28|LAS1L_MOUSE"	87243.0295038628	96530.0486262709	103261.38499275	96689.2773519367	104828.541222255	136057.629091499	139868.092834639	125196.602161477	90289.3686224484	88609.0521638272	84828.509098741	94517.4226192772	83968.0126864929	100331.477263683	87518.5855676089	91526.293276099	83595.0283089618	84627.442663083	83592.0911200151	108577.913993157	83964.7118116718	87363.3818429463	80388.2794148274	89271.1269900935
"tr|F8VQ05|F8VQ05_MOUSE"	99903.2458234617	93613.0780817109	85410.2179067049	91950.3428752302	89060.1122768054	88506.5801849961	96381.1328904151	102994.985181626	91018.1218184933	84694.0500062158	86124.8570053034	88921.4234609976	92622.788743189	99613.8000536997	101587.527358341	83225.574501418	76512.7031444442	88199.8126907853	95166.3642056586	96668.6195664223	96735.1371371762	83929.2101537054	92410.0164660734	86646.0364536444
"sp|Q6PEV3|WIPF2_MOUSE"	119481.467967503	112516.392642101	120062.877427563	112713.050666191	108855.158365558	88503.4454332718	82937.8219008038	84900.0685596399	79121.6431181725	89918.3987465108	93943.1696265455	98629.1422165358	92587.4936851229	101307.355622868	103034.893405942	93257.2105163248	91741.9139388746	100968.010262043	85956.7850575828	86520.3295907256	70390.8170341285	95954.2715876706	88736.6526624782	101760.862559998
"sp|Q69ZR9|TASOR_MOUSE"	88617.5785206094	79996.1886786303	84488.7624015665	77587.628477287	94991.2681430792	85916.2303434504	77506.3871802897	95785.2090436752	100214.690459167	93006.4451676905	93939.5127918302	93419.9885630694	131109.375696248	88263.1148884368	94744.9579584483	106270.432361504	111561.611689349	109362.520532092	108916.027372267	98431.7940783979	98996.9144150339	88661.9931668917	105327.962774574	107495.351779995
"sp|Q8VCM3|ZFY21_MOUSE"	73810.4288047748	72123.5449219158	86910.5732878648	95856.1045791467	89506.9217532471	102197.085882427	86937.550653833	140586.925412296	86397.1219087124	104969.365652152	61290.3782452424	90970.8815609657	70670.3321732819	81167.6659852006	73461.1474087574	85102.0829113824	71517.23104367	86567.6880410665	59412.5341138955	69134.8863874124	67508.6665600584	85942.6533990886	88576.5087219478	80874.447023621
"sp|Q9JL62|GLTP_MOUSE"	94456.2140720589	98737.8645765577	90247.141664207	116947.640710637	108910.609660964	111479.085738196	79445.488323364	72610.7015016249	74523.8223812938	72313.9266276985	92658.7064328077	83200.1339146343	91696.5608557571	93451.5348314336	99498.0494948253	108176.261215374	97146.3030789881	95121.8516257609	80473.3902959774	62698.48564585	77338.7814243477	66351.2946411267	83566.2911539248	79684.2321776451
"sp|Q8VDZ4|ZDHC5_MOUSE"	81445.7189765388	72722.448867804	79266.2243464832	65183.0815605711	75033.0672813063	100715.393234056	81130.8918786435	81350.8196568034	77653.9378900058	79124.2051192809	80158.7311673443	65760.0777047319	81363.6652200995	74958.6399248902	71956.2632017505	76694.1928589771	79090.0600606642	76770.8725423805	72920.4872715075	74602.3549202399	72063.4551829442	80665.8038679192	78645.5950433411	77498.3279112359
"sp|Q3TZX8|NOL9_MOUSE"	85455.2302458608	102598.505925091	94870.6857979854	77641.5520958305	77229.7916762225	68225.7814457622	103878.517547901	94182.8010588771	106371.078781989	90086.024909301	98454.7894565069	98958.3724333982	99278.5810566863	91337.1317198675	100454.9425104	90942.9175473547	92600.0499372957	97419.0289364866	89289.3885444489	85658.8153984126	69181.3047088741	92521.0927205428	89078.8235664687	97843.2809229061
"sp|Q921Y2|IMP3_MOUSE"	99734.0100103762	105076.342531169	101172.561142577	87539.1794131999	75918.1552656658	80000.9538396221	129482.458716105	98024.5530065577	129134.880905773	118168.994715422	122557.901273514	135424.277064423	78751.8309232073	97368.2632876182	82637.908295822	79628.2593491263	86223.4998550992	80142.9132517061	76573.9447526161	106210.377509999	85487.6418454294	111347.978451412	95780.9966800957	93707.1088591733
"sp|O35972|RM23_MOUSE"	100002.622667192	85386.3241916241	95032.3950195518	98432.8076848436	94372.7729250931	89844.0742540475	99040.5222897457	120222.990605487	101867.829070551	79309.5251548101	90001.101803487	115309.225342514	93178.9532945338	86575.6585590138	90869.2797991934	93402.8016860634	85305.4024638904	79432.1000865015	91586.7031432257	108144.986836062	89740.8601646009	105235.172701005	97931.5010243613	96577.8629484987
"sp|Q63ZW7|INADL_MOUSE"	47903.5743946527	68544.1361595169	68075.7548422326	44314.641184231	63320.0474979277	98376.8684476991	77099.2291635143	65219.7006511077	67242.7805892575	76509.2369797536	82542.07319302	79339.9096219233	113683.242936516	64353.0785484628	48444.9312059688	47268.5997751384	74810.1927787337	67183.5384629109	103051.885870827	65775.6320556732	62039.4736948386	52199.608240884	67589.6950495797	59830.6062717274
"sp|Q3SXB8|COL11_MOUSE"	97110.8549075511	78899.288159952	74310.6500358792	105344.546791098	102454.799230467	85027.0057709795	122026.76562025	65874.6531210847	115798.511984768	113781.845532618	127186.539814364	145666.080393982	69794.3730049139	76813.8253472979	70493.2103834026	94809.1719437469	122370.389969576	107516.846862784	53441.4412810414	66523.2180487508	65309.3574165415	116090.689685729	128146.982275867	123535.677720246
"sp|Q9JMG2|C1GLC_MOUSE"	75202.6885461467	76384.0784527273	77232.8983356638	55476.8302227385	56566.7195401585	61544.5806039537	99109.7125409624	93302.1125434225	97678.888943667	111263.728064925	102128.079927993	102974.981079119	86096.4116426008	95157.2888800912	82688.1059622127	69669.4189190888	68728.5347922145	64398.2491074094	83125.7833150493	87683.482253395	95216.5152506146	65400.1710567692	67461.3809605833	59568.8993847857
"sp|Q9JKX4|AATF_MOUSE"	93728.106504133	109010.795754468	109618.758176696	87418.6442658674	71543.9011550122	78626.88766712	101387.668504098	102618.758439163	106892.14658883	95072.9032523099	107912.278238868	104332.141195296	99118.1489745676	96573.329040866	87731.9256497697	92067.2049136696	90065.943861775	90319.0324851865	95403.7961613981	100720.123337325	93592.3437577529	106850.494279032	101676.481993908	98465.962826319
"sp|P59672|ANS1A_MOUSE"	79950.1466748531	89967.3320647752	82003.7988015205	81097.9503118844	88946.0105727976	83179.5920881022	103701.106647345	105755.747615752	97827.2356502411	126740.279172761	103323.864879886	104579.063857942	100140.636111271	103077.151688847	110418.133504253	81601.8285389164	82631.7141297491	85249.7855201721	112478.576221673	108991.310601811	110153.938615666	74314.7208103667	79713.8844354508	79193.9077802716
"sp|Q9D708|S10AG_MOUSE"	76077.4015568037	98721.98100857	97951.7727414388	104982.9413491	101160.224756958	89324.7503850487	107260.856366996	61631.2393835639	94083.3356430791	84539.4614338648	93149.6364933324	106776.675555499	60344.9233681232	71274.6991189693	73113.9468828879	102564.934881698	112448.253923686	105616.260588439	50807.22998831	55650.1277198235	48307.2545078452	103747.925175569	100568.405287381	96034.3950070336
"sp|Q8CC21|TTC19_MOUSE"	81461.4618428723	68819.7627804794	71571.1618622435	78249.5144617623	82162.8242251946	90666.4241230659	60517.5193430719	78747.9664751472	52388.6394266171	69839.578213623	50501.8016265242	48035.6031685957	78315.4556598444	75262.5853721778	79436.7612786932	74941.0325233746	72273.1377822562	84070.1814119641	54953.733107238	76950.3608549569	71645.5649049401	76138.5350321463	72395.0079483527	67889.3735144476
"sp|Q7JJ13|BRD2_MOUSE"	80474.5809095889	74985.3901422833	95604.5968804788	81194.1669645797	49589.4536586357	55397.3324725243	83723.7521902657	88088.987624625	86029.0366430256	85606.6813369625	117790.303013484	92461.562820648	73481.1022520013	82657.9135628717	80935.3707774013	87323.3592996862	87531.8377862544	89069.262270542	70714.0813044328	49886.4458689841	54408.6679740662	83476.4832701282	85419.3853229196	95118.9222569274
"sp|P27656|LIPC_MOUSE"	64717.939568013	52719.4308061495	37183.5523672663	60205.191440907	28027.4307143609	53430.7982241221	81437.812736605	59703.4747510587	90669.5070580443	77730.1141987423	53514.1192232259	80487.6427390406	52963.9780434494	223859.379817187	68996.6924541274	66313.7446665716	55343.3825694198	69009.8910304467	64892.7203355585	31611.2776811663	72019.2966741861	58076.1223283708	52332.2546533309	71855.0851537357
"tr|A0AAQ4VMW9|A0AAQ4VMW9_MOUSE"	90650.376135927	82956.1382895099	93746.3761214147	91772.7121317927	98109.3371385817	84267.3509364479	69641.7619586537	69852.05865478	62295.4179250137	67748.907461045	64821.0521628332	71251.8206276718	78368.9330205507	91772.2108216705	78559.3479015711	88702.4312130437	88960.098502985	89776.0078353735	76843.4621077799	66068.5902822783	76587.0097386597	83292.8111792032	84497.3143112942	86557.7981162848
"sp|Q99PW4|PRPKB_MOUSE (+1)"	96501.8027662725	117615.017966145	101355.321268726	97147.0994466297	96441.5327921501	114713.104600473	78263.9317256627	96512.2274812224	74967.0081671837	78664.1644280678	79924.6937455672	74620.0286518496	104049.831178896	99050.6369172537	104075.449198835	96999.1057885653	95655.132048513	95262.1838386339	120963.025342761	102608.076353225	100020.099374065	94136.4142985697	80633.9660813554	92939.0342407928
"sp|Q66JZ4|TCAIM_MOUSE"	88086.2567818527	82863.6398641699	95249.6020804723	68545.3777756373	78569.1537344822	79317.5779637161	68244.6511167772	77830.1851822668	66307.269170925	73601.8543118033	80074.6239688932	69731.874459824	73705.7071669675	72461.0012493527	72981.1322238956	92776.9618661453	79685.7420939324	80888.3010200824	69917.2938853971	76503.3283017668	76701.1756393516	96712.7876820852	85434.3055658262	83750.2146548419
"sp|Q8VC03|EMAL3_MOUSE"	105739.91351662	88925.5568702895	94771.1724308677	88871.4099889809	82317.4480296912	82954.9348811912	76830.4516491723	80047.2734786938	91172.0315265638	117009.580422789	128544.139702407	103638.014154744	77377.4627530572	80980.6226330236	82163.1220345425	71787.5682288277	80539.9461977445	81699.787294522	119855.00954931	79303.7919420184	89216.3432434977	66158.6871511838	86661.7442156059	84382.9236420456
"sp|Q4VC33|MAEA_MOUSE"	112701.212223479	95063.1544062327	104476.596302746	91945.0562459612	95070.1796019257	92575.4879231885	95636.8941625838	105093.37659029	90656.5267212191	132571.807124941	91058.8412448782	95326.7802357305	80012.8270886602	86371.3340275596	90139.3220670942	77399.9056122935	95695.4339682556	97088.5364061697	89451.9545681985	99402.8963480706	88910.4647925874	90526.5130953087	101355.199429987	100972.733774036
"sp|P04441|HG2A_MOUSE"	55074.4500095775	53563.1285645536	48587.4014952405	73590.9367499442	87421.0999491422	106518.86359305	79219.2894251554	52698.2387857708	67672.058871406	78505.850829877	71819.3195991766	66130.4616987021	57016.4924377675	90131.5153302918	83200.5404732853	131790.340107146	109574.038964484	118589.87197854	54251.0628598468	54797.2937712618	48845.7729073352	69724.904181468	79815.3420872155	72020.532036285
"sp|Q9DBR3|ARMC8_MOUSE"	70507.3786621701	77047.4509980949	87205.2859520212	93325.9238110167	76625.1592820878	72446.2021839644	75490.1122954737	92061.0941901166	83358.7959246931	68335.5990308107	82549.3868624505	92772.5024699068	86106.0375675279	83606.345343204	81987.4302021748	82426.8451674353	77021.8834963137	79754.4574160721	89199.549426061	82391.7886565306	71071.5042910838	76310.293257714	88013.5182229403	82100.7593712441
"sp|Q9JJ89|CCD86_MOUSE"	92602.4915612853	118996.888381072	106353.954247794	79953.9237380789	66201.3821168907	77775.2801153412	119026.747291853	81211.9866898665	113119.926764191	97811.72850101	105687.094314627	108303.937950388	66073.4182469745	81984.9641110175	76347.5132262273	78675.8504470861	92304.1748679661	81054.0557352875	80523.6574217421	86096.0826773826	72635.3617232026	100072.497712843	87425.6606524218	85313.4370178381
"sp|P62700|YPEL5_MOUSE"	92583.7969075142	82580.5386229778	89320.9018625726	81040.8547157795	92566.3403401474	70149.4740872651	92137.4641491218	100989.855613347	94741.6241535013	81016.5182458905	72215.1719571043	95559.9849726747	80536.9052235812	74864.1017088442	80334.0445654284	88981.4809550427	82224.7630377144	87998.4664723153	79802.8054480105	108766.709294747	76413.606814024	95899.6663714497	83994.9994667733	96339.218354276
"sp|Q5XG71|UTP20_MOUSE"	84937.6835151459	89099.3417906252	82847.7487034229	78812.0118159809	81157.2363104344	71029.294404563	104207.614768432	91874.5705093465	98861.0267616788	85807.8327323108	97265.4039653661	102417.118767213	78423.479928471	83907.2411706191	85284.7894132191	80268.2538661023	74634.2404949795	81336.7539612201	74609.2487945375	79674.8723623849	81403.5183036977	96833.9119798844	93510.1357097172	86508.6654057095
"sp|Q5QGU6|RTP3_MOUSE"	95959.6578069114	92021.9183003573	82121.4924953232	78028.5333583193	66872.129517086	67012.6325284429	77113.4220355588	79804.5807349645	89760.8834802784	88382.7568440604	98834.1860582159	95792.2751812386	83020.3938547785	73907.537608852	73231.074771133	76818.5519831289	85707.4386876638	76480.0391157017	86001.7046167768	85511.2512546412	97954.3427936214	93402.7187569828	91319.8440510341	88625.3827939616
"sp|Q9Z1K6|ARI2_MOUSE"	85621.5142715087	83570.9258033857	89917.9820652791	84093.354455684	83208.9342404436	83498.2918467433	82927.1772467704	87820.8598335179	74956.8093311068	87769.9900934162	86133.0848834127	88758.6374093268	79418.1588376069	83514.8567470304	78922.2351981877	90474.8014946534	92374.9489709286	85961.61558547	75604.9656900036	82599.029476092	80544.0429381118	82926.4598194663	77517.6246796051	82158.9164572312
"sp|Q8K0P3|MEAK7_MOUSE"	54141.6851793156	54092.892273319	50424.571349722	62806.2130412413	58016.9841892294	55596.9116656406	74386.616494017	52672.803738393	72999.5599712457	54515.7531652175	54815.9523818611	62517.1600686379	49754.2668538615	56723.9461675477	57978.3046813512	43992.7984560195	54722.1432211928	57472.1425720607	45083.1947310226	51115.7853902569	44467.618319482	44139.8783266725	52992.7240726613	43167.5984280637
