Accession	CC017_M_1	CC017_F_1	CC004_M_1	CC004_F_1	CC001_M_1	CC001_F_1	CC003_M_1	CC003_F_1	Pool_1	CC017_M_2	CC017_F_2	CC004_M_2	CC004_F_2	CC001_M_2	CC001_F_2	CC003_M_2	CC003_F_2	Pool_2	CC017_M_3	CC017_F_3	CC004_M_3	CC004_F_3	CC001_M_3	CC001_F_3	CC003_M_3	CC003_F_3	Pool_3
sp|Q9CQ62|DECR_MOUSE	14796793	17550309	17649357	18241730	17439801	17560670	11431393	8723365	15568309	17932633	13072424	15771925	18143560	17755552	18855845	10829853	12881985	15568309	14012536	18378766	17692983	18823519	17871504	15375084	9658722	9893702	15568309
sp|Q9EQF5|DPYS_MOUSE	13348557	18004110	13350547	18141068	20903958	18172457	10953471	9832518	15441464	13635107	13975200	14330524	16292256	22413708	17929089	10288053	14048598	15441464	13519415	15878885	13870181	17929015	20985162	18022749	10644483	10706840	15441464
sp|Q8VCX1|AK1D1_MOUSE	14733637	12542088	19118809	14969575	14027529	11163174	8844634	14889661	14009152	15199926	13692909	16767778	14889635	17297460	11651233	8518918	13373547	14009152	12926130	11671781	16431465	14856918	17268210	11742400	13173333	14059910	14009152
sp|P62242|RS8_MOUSE	16816700	15903808	13515972	14409084	13697435	14947186	16765672	19869356	15562001	15883312	15068013	15382009	15449543	13452637	16268661	18653998	15033531	15562001	15852951	15089140	12896687	14149566	13539792	16002276	20067593	18095195	15562001
sp|Q61316|HSP74_MOUSE	14603486	14488538	14491847	14207298	15426292	16035056	16700152	17227296	15391068	16372531	13012713	16549775	13359966	15341654	16979345	17831522	13099613	15391068	16168429	13939566	15324709	13676563	15691497	16137373	15965778	16570671	15391068
sp|P60867|RS20_MOUSE	15641167	13383244	12843109	13144636	13775518	16475834	16903029	20938927	15267083	15492021	13854279	14225060	14932932	13574497	16465103	18618141	15159441	15267083	15373233	13980238	13051381	13494209	13500812	16292643	19532514	17232198	15267083
sp|P08226|APOE_MOUSE	16816363	14585332	16229010	15660040	12174929	14108128	16511725	16009161	15223929	18088858	13335319	16813010	14637153	13157295	14132012	16352752	14994259	15223929	17413816	15028359	16172565	16118858	11949296	11732384	16655219	17993541	15223929
sp|P80313|TCPH_MOUSE	16366696	12815019	15182568	12488540	14060163	15343502	15375118	16405998	14713612	16214524	13706420	15975256	14121722	14179674	14515908	15378560	13504519	14713612	15544798	12832037	14516369	14606544	14818248	14459872	15507150	16337417	14713612
sp|P07759|SPA3K_MOUSE	7564630	4739148	2411089	5096077	22258276	31128873	28892783	24243172	15146919	7809654	3632221	3611074	8782533	14521378	34241210	44097441	4634360	15146919	6689082	5327151	2330145	4746665	14572795	27319442	32556219	35755024	15146919
sp|Q9CQN1|TRAP1_MOUSE	13907590	16313824	12158960	15742274	16016227	18549141	16551019	14175251	15221740	14891499	15434991	13100107	14477598	16181879	17553764	16000912	14912941	15221740	14917351	16152342	12692478	15357020	16032141	15170564	15664468	16558614	15221740
sp|Q6XVG2|CP254_MOUSE	8023810	26420038	5460437	22406223	17321225	11040628	14051022	12409696	14959656	6237115	22141317	5846705	17847050	22191390	11875860	10418585	21852299	14959656	5144454	21836764	4734042	22293050	23352839	11061266	12536983	15884813	14959656
sp|Q91WD5|NDUS2_MOUSE	16730312	15988383	16060823	15441663	15548451	15268755	13191489	10992944	14949591	15815255	16781509	14845292	15092123	14492008	13963142	12716381	16351496	14949591	16526103	16327985	15825384	15122833	14224067	15390627	12822527	12275422	14949591
sp|Q99J08|S14L2_MOUSE	15874625	14578201	16312539	15063981	14915122	15025254	16083557	12411477	15044183	17522146	11433743	17233244	14566970	15234878	15019044	16392091	12204066	15044183	17405756	14549575	17061729	15356820	14632867	13645206	13590022	14095939	15044183
sp|P21981|TGM2_MOUSE	15465899	9184651	16748407	11112189	13823069	14676899	14075855	21398874	14569052	17613730	10711467	19821916	12002621	13694628	16147973	14646672	11073513	14569052	16579852	10142195	17818063	11206122	15097577	15518201	16038395	15071412	14569052
