Accession	CC017_M_1	CC017_F_1	CC004_M_1	CC004_F_1	CC001_M_1	CC001_F_1	CC003_M_1	CC003_F_1	Pool_1	CC017_M_2	CC017_F_2	CC004_M_2	CC004_F_2	CC001_M_2	CC001_F_2	CC003_M_2	CC003_F_2	Pool_2	CC017_M_3	CC017_F_3	CC004_M_3	CC004_F_3	CC001_M_3	CC001_F_3	CC003_M_3	CC003_F_3	Pool_3
sp|Q8C3W1|CA198_MOUSE	35880	31752	38634	35827	51369	51840	55371	50894	43792	70444	28731	68819	36490	27647	31912	49400	31124	43792	34961	35773	42099	39996	45382	49022	53103	54960	43792
sp|Q91YT7|YTHD2_MOUSE	51105	43916	49256	49108	46563	57082	50556	57717	50282	45690	49948	51415	50993	46416	55519	58411	45109	50282	45110	32461	50708	37539	71853	68851	45444	47822	50282
sp|Q9ES34|UBE3B_MOUSE	41341	45329	51862	53572	53287	47894	49297	51250	49842	49297	48635	52531	53355	50093	41962	52296	46706	49842	47391	48977	49379	57961	53753	44228	42826	52398	49842
sp|Q9CPR8|NSE3_MOUSE	18242	17571	23464	18883	20128	14686	16113	21222	19193	22442	18413	21348	19183	17808	20010	18842	15589	19193	23804	8023	17268	7761	21900	22557	32160	16654	19193
sp|Q9CQY2|RAMAC_MOUSE (+1)	19459	20862	19319	20313	20296	22036	21586	25658	21217	19304	19599	20828	20917	21533	19544	22680	23556	21217	31678	3542	22354	23881	9304	23187	33504	27085	21217
sp|Q3URQ0|TEX10_MOUSE	46907	38230	48694	41568	42477	46957	44586	61530	45891	45510	32489	41522	42957	43745	62066	58957	38427	45891	45844	38417	43392	41020	42772	47977	55419	57727	45891
sp|Q6ZPY7|KDM3B_MOUSE	33817	19757	21377	25903	17998	24867	28434	29420	25060	39229	12972	28503	24754	11254	33425	28310	24945	25060	21418	21138	25242	25983	24241	24552	29426	29329	25060
sp|Q505D7|OPA3_MOUSE	52586	50351	55290	63601	42720	51340	48532	46655	51095	52839	41345	61679	57001	43245	60552	50868	42956	51095	42482	59589	43805	59237	49683	51651	49976	49294	51095
sp|Q05BC3|EMAL1_MOUSE	56213	37773	58283	48059	50715	59963	35110	35402	47783	49213	44997	50697	56547	46078	47999	39042	46218	47783	47240	48231	46955	46914	44224	56923	48346	40416	47783
sp|O54781|SRPK2_MOUSE	38760	37282	39751	37788	35813	33781	34517	37967	37287	40354	31404	36785	43735	30781	39039	41937	34891	37287	38816	28327	34129	39586	34823	43427	39283	43043	37287
sp|Q9D2E1|TSSK3_MOUSE	50685	53500	46152	41015	44640	54346	70641	58384	51267	54964	43361	44606	57555	51385	71457	47538	43837	51267	41066	46676	39040	39240	56791	63439	64285	65167	51267
sp|Q91Z92|B3GT6_MOUSE	37310	34935	37012	39072	31798	39556	66473	75023	44602	41814	32252	41408	36279	33580	51919	85110	31066	44602	41142	37823	40368	39460	31340	43469	66427	66284	44602
sp|Q9JJI6|PIGO_MOUSE	41589	50019	34496	45911	47911	51729	65268	65940	50030	43421	52504	39120	47581	55993	55249	54415	54787	50030	45234	51144	44398	51754	46300	53714	52784	56778	50030
tr|A0A991ENW0|A0A991ENW0_MOUSE	42079	20292	31138	19486	53440	38854	20733	61477	36433	50018	30062	31794	28596	45797	52520	25239	27843	36433	38953	20731	35953	21706	43896	41014	44246	51941	36433
sp|Q8CBG9|RN170_MOUSE	32568	30068	36127	31369	30225	24865	53131	26221	33153	31607	27555	30951	35365	32832	37216	41828	28602	33153	30642	29880	30689	31722	32461	33971	40808	34773	33153
sp|P35288|RAB23_MOUSE	42157	42547	46775	48466	44474	43248	39506	47468	44892	42890	55000	46305	55572	29329	28847	46897	56485	44892	36024	56574	36330	57087	48208	46574	28331	49688	44892
sp|Q8BW10|NOB1_MOUSE	44587	37728	37231	39793	38568	43164	49257	55602	43043	66406	16956	41955	50694	10865	61016	61104	43331	43043	47231	38036	38761	40742	30249	51128	49511	56962	43043
sp|Q8C2P3|DUS1L_MOUSE	27023	15086	25291	20909	19471	21238	27737	31139	23500	27047	22183	33503	15883	19868	16204	22695	28214	23500	24770	19580	26062	24080	19890	18231	26968	33565	23500
sp|Q8BR90|RIMC1_MOUSE	49363	44241	46922	43049	43381	47329	40170	34723	43763	46663	28639	43028	59982	30761	42527	61433	37123	43763	39749	45014	39605	47714	49093	38454	43344	46751	43763
sp|Q8K212|PACS1_MOUSE	40979	29415	40636	35073	44995	47819	44442	59190	42912	51521	31599	37092	57533	58851	37911	35873	30738	42912	38542	30430	38574	42459	45379	54354	47631	47623	42912
sp|Q64337|SQSTM_MOUSE	39367	47079	38228	39916	52655	48657	45167	68372	47985	39323	40861	40814	47602	50143	90942	42090	39005	47985	43728	56098	44355	46867	49877	59614	38051	42040	47985
sp|Q9WU42|NCOR2_MOUSE	57378	41966	51592	44945	45519	46593	49093	57865	49448	54987	45043	48112	52825	44712	53362	52513	47089	49448	49836	35580	42703	44302	48012	52465	64262	65471	49448
sp|Q61216|MRE11_MOUSE	57763	36510	52698	40038	49927	54755	44055	62270	49655	59852	44415	56838	47563	51341	54243	45326	37316	49655	48505	34651	52143	37064	56008	51680	61278	62942	49655
sp|Q61337|BAD_MOUSE	37151	27444	35144	30997	27918	34386	31626	39548	32872	31202	30807	28574	28684	32355	34015	31213	46545	32872	37090	24335	35593	33619	29748	35397	34211	34921	32872
sp|P46062|SIPA1_MOUSE	61779	36920	58169	39965	51264	53954	43119	49421	49497	67945	34198	65399	38074	50158	64782	38950	36547	49497	54206	30649	66557	37382	50443	59180	54755	42621	49497
sp|Q8BKX6|SMG1_MOUSE	48021	41238	43716	45193	45427	48237	49942	62875	47933	51654	43048	48688	46411	44875	44718	54786	47640	47933	53678	32252	59526	57285	27224	58354	45445	56597	47933
sp|Q9CQY6|UQCC2_MOUSE	59516	50291	49575	41390	50275	46021	43247	54333	49156	54969	37503	56705	47048	43643	52656	58175	43479	49156	65290	51326	49859	45516	42889	46633	47640	42334	49156
sp|Q8CAK3|SHFL_MOUSE	33832	30243	34603	33556	44384	54965	39817	32693	37681	32451	25938	37436	32521	46892	53275	40403	27258	37681	31144	35023	32785	39378	32844	53563	39785	38675	37681
sp|Q7TQK0|CCNT2_MOUSE	56778	37126	53144	43290	37008	46406	45928	48435	45752	52403	43945	53726	46697	38884	42135	47172	42940	45752	43402	51568	39615	42999	44841	35504	49997	60537	45752
sp|Q9CWS1|RN135_MOUSE	40286	36223	40450	39617	42658	34474	39142	45770	40421	36437	38323	41290	40528	39263	38198	45296	42687	40421	37397	35735	38130	36532	44247	41695	41371	53546	40421
sp|Q3U1G5|I20L2_MOUSE	35383	32326	34738	32747	25798	31048	38517	46477	34074	35795	28969	38285	33460	26292	37463	40529	33161	34074	28933	32400	37417	32866	34946	29641	37289	43441	34074
sp|Q9D1I2|CAR19_MOUSE	50185	46072	45594	50714	42052	50629	60930	44770	48142	47934	41864	44804	56866	43663	52259	55761	44273	48142	40534	47415	51993	52848	41873	50501	47697	56496	48142
sp|Q3THK3|T2FA_MOUSE	36305	27508	35903	27612	30076	38748	34369	33315	32711	32710	31746	34941	28029	27794	35820	37866	32873	32711	23311	43570	31463	33185	39305	20301	26446	48959	32711
sp|Q9D4V0|EKI1_MOUSE	18917	15131	16024	12739	13540	32276	26160	17304	17997	17506	13985	17149	15600	15863	28628	21815	14546	17997	21160	9440	23092	21856	4464	24727	21594	18506	17997
sp|Q3TRM8|HXK3_MOUSE	23057	14860	43981	20559	32392	37908	38365	43748	31717	27570	23644	31637	28642	46706	41319	24917	26439	31717	29157	18925	35995	26391	44880	30849	35079	32463	31717
sp|Q8K135|K319L_MOUSE	11910	16954	12221	17178	19919	18020	16162	21807	16821	15106	15889	16198	18146	16256	16875	19916	16041	16821	15477	12792	20797	18561	15009	15591	19456	17548	16821
sp|Q3USJ8|FCSD2_MOUSE	21619	23411	25905	19471	25655	19334	18232	25802	22842	24272	16797	25696	20998	22105	25602	25012	21714	22842	23984	22881	22739	22503	22902	20235	23893	23980	22842
sp|Q8BJ34|MARF1_MOUSE	48697	44582	49514	52789	43185	46474	43472	48428	47282	45622	48156	49919	51959	40498	46683	44699	50532	47282	48323	46600	43535	46242	53071	48736	47818	41129	47282
sp|Q149L6|DJB14_MOUSE	43691	44859	41506	41437	42647	55519	58437	61053	47796	50081	36302	43114	42959	47358	65054	57467	40013	47796	44344	41075	53468	43114	52174	48136	45413	58522	47796
sp|Q810U5|CCD50_MOUSE	48324	32036	59927	31780	37132	34741	55311	57736	44530	51664	31772	62859	36016	39550	47011	49773	34765	44530	54556	31755	55060	35298	39302	41634	51469	52816	44530
sp|Q60I26|AL2CL_MOUSE	49529	32300	42806	29714	40819	38191	41854	46659	40296	47358	38090	45831	31299	35397	40501	45782	35351	40296	44238	33170	41118	34874	35437	43416	48174	46594	40296
sp|Q3UDW8|HGNAT_MOUSE	45996	45613	38733	56922	33619	39081	42381	41154	42601	36036	60129	34269	54991	32334	39855	31406	60696	42601	36017	46847	34293	55885	34780	40294	45995	52300	42601
sp|Q6PCN7|HLTF_MOUSE	56416	28656	44481	63446	19030	59689	64031	41234	45865	51873	25422	38169	55630	18337	63232	67239	53090	45865	38887	45895	35543	44807	50033	55542	48229	45097	45865
sp|Q8R0Z6|ANGL6_MOUSE	46439	35868	46970	38367	37810	33716	42599	52774	41782	46346	37148	57223	41402	33650	27297	47406	39475	41782	45612	40163	51044	44694	34277	31612	43933	48528	41782
sp|P59114|CAPAM_MOUSE	38332	50613	36240	34683	30706	29180	29252	39164	35639	30456	36114	39222	37895	35083	32309	30389	41111	35639	41193	25844	33682	35991	27333	36240	44892	43849	35639
sp|Q91X96|MSS4_MOUSE	39780	32731	38838	38028	37054	36786	40028	38058	37834	41419	32579	38194	42529	34274	40337	39160	34591	37834	42134	34586	39981	37218	30566	43373	36717	39529	37834
sp|P50236|ST2A2_MOUSE	4674	1257	131483	119968	974	10022	3185	72254	45748	3261	110564	70507	74075	1228	4878	3954	104896	45748	1230	792	151619	148437	1211	9605	7550	61581	45748
sp|Q9D0Z3|TMM53_MOUSE	41163	38109	54654	38082	33332	40060	44203	63117	43599	37183	53821	38338	41019	52294	42459	35348	47354	43599	55307	29036	69547	43428	28959	36587	52457	31863	43599
sp|Q9Z2L7|CRLF3_MOUSE	31788	31972	34835	33425	35190	39391	36763	44818	35792	39114	26267	32001	37118	35195	46169	35578	34515	35792	32757	27819	39216	36203	32445	45912	38015	36211	35792
sp|Q9D7W5|MED8_MOUSE	44628	48344	44283	47234	37697	51060	55802	55050	47284	51738	48771	51883	48744	37413	44876	49821	46681	47284	46830	41212	41822	44791	39053	55675	58334	54353	47284
sp|Q8QZY6|TSN14_MOUSE	42201	35360	46366	41159	41465	43616	49439	52285	43834	38149	42711	44142	49207	44072	49878	42732	40172	43834	40583	37935	47513	37725	42788	44241	49796	52961	43834
sp|Q7TPE5|S7A6O_MOUSE	48441	37364	38840	33968	27590	46155	47305	52301	40411	41674	33533	44215	32853	35808	52297	50345	35490	40411	50202	32051	38859	19844	41459	45261	46170	60366	40411
sp|P19426|NELFE_MOUSE	25319	25221	16278	25590	17217	28190	18906	20323	21841	21385	23139	20102	23450	22921	22259	20373	21206	21841	19231	21423	20423	21685	22062	22992	24161	21872	21841
sp|Q8VC52|RBPS2_MOUSE	58655	36907	47291	43016	33914	37824	58824	47710	45030	50683	41766	49430	41077	41651	41290	56471	38355	45030	56602	39815	52066	42590	35596	38606	49906	49107	45030
sp|Q9R0A1|CLCN2_MOUSE	43646	37309	42474	43688	43054	55618	53764	49507	45556	49775	43524	45655	38878	47809	43771	51002	44097	45556	41117	38305	43596	46767	54267	41233	43405	60033	45556
tr|A2A654|A2A654_MOUSE	25339	26640	27521	31228	28303	25429	22025	18545	25997	25385	23274	27285	24259	24036	26356	33010	23647	25997	29301	26789	20576	23684	24244	26064	29224	29703	25997
sp|Q9WTN3|SRBP1_MOUSE	24560	12299	24598	22006	36906	24763	51045	60906	32463	30454	28429	32493	32465	29027	29645	46083	28601	32463	31921	18929	31162	30537	30318	33708	40448	51053	32463
sp|A2CG49|KALRN_MOUSE	49997	25740	35271	36235	24588	52497	42749	49138	38114	38023	28667	33909	40041	23962	58420	46111	40603	38114	20974	27177	42801	42760	74371	29519	35470	23260	38114
sp|Q00977|CXB2_MOUSE	42804	41425	53133	35764	35592	36408	64772	69284	47035	33584	54148	49162	42395	37513	58136	51469	55348	47035	34343	46037	55682	48709	54476	67036	33889	25989	47035
sp|Q8CIH5|PLCG2_MOUSE	41371	22365	53921	30040	39302	43254	51202	53955	41891	39814	23432	53713	38023	54789	49581	40827	27914	41891	17093	29303	20942	71564	22432	122216	23763	22915	41891
tr|E9Q593|E9Q593_MOUSE	38301	42277	35581	33701	54066	35109	60552	49654	44158	27596	15828	18291	17102	115834	67456	57978	15564	44158	41879	43785	50253	51446	46274	48461	34264	32584	44158
sp|P53569|CEBPZ_MOUSE	38177	27490	35314	28558	34981	34521	41988	50708	36346	35792	32629	39054	39367	29500	39882	36538	36904	36346	34199	33339	35274	31595	28111	44907	45701	40702	36346
sp|P26928|HGFL_MOUSE	35764	61608	33011	57866	36107	41422	26778	35718	40925	43051	35141	43294	38293	49551	40658	38529	36392	40925	42586	31512	42617	36891	41758	46294	42375	40222	40925
sp|P56546|CTBP2_MOUSE	38958	33853	40492	35626	45624	39136	35979	53295	40635	40191	34009	45700	41097	41399	41778	38602	39469	40635	38031	34431	41429	38491	44671	40694	43198	48512	40635
sp|Q8BG79|C19L2_MOUSE	45590	40867	43426	46337	33318	36181	54068	55838	44236	44240	32814	47366	44170	35039	43175	56957	47731	44236	41770	38767	49139	49518	30457	36882	58197	54291	44236
sp|Q9D7E3|OVCA2_MOUSE	36548	46556	34574	47675	52217	67060	42040	43658	45512	29862	49248	30504	52584	37280	66476	56496	47853	45512	36994	50820	31737	49122	46831	59050	44179	39601	45512
sp|Q9ESK9|RBCC1_MOUSE	52931	29695	49475	40347	38041	49289	52590	55645	45807	39903	45590	45269	43716	40831	49719	57020	46268	45807	42141	43278	54461	39436	51417	48618	42383	42510	45807
tr|Q6PHP4|Q6PHP4_MOUSE	44686	41398	42200	36879	36139	37593	41989	48840	40795	44342	38552	52329	39813	39231	30822	42562	34982	40795	35812	30984	48507	37575	42583	47503	47179	35233	40795
sp|Q99LH2|PTSS1_MOUSE	27700	36327	36529	35308	37067	27809	23239	23444	31476	24621	23226	41667	46402	37051	24890	21525	30111	31476	25868	31754	36396	37789	32422	31408	26732	25260	31476
sp|Q8K3X4|I2BPL_MOUSE	37274	32981	34949	30873	29815	32674	43205	43279	35235	34568	13966	30367	25557	30644	42170	79886	21285	35235	32130	38420	30316	35731	33082	33023	34346	50912	35235
sp|Q07235|GDN_MOUSE	29699	36054	34503	39291	30680	33356	36722	37801	34713	30305	38127	32030	38604	35508	31448	35044	36880	34713	29977	34349	31682	36298	31742	38816	34050	45363	34713
sp|O35988|SDC4_MOUSE	42015	53102	42719	47262	37813	51470	36734	27079	41571	41725	39412	46045	44164	32191	60265	36520	39413	41571	45112	56024	39896	36421	32706	52977	37272	24454	41571
sp|Q5SWT3|S2535_MOUSE	38165	33373	42994	46487	28158	40489	47765	41079	40017	39311	25354	37570	42616	37751	50295	54722	32204	40017	34789	41344	39699	44801	33400	35315	45000	47356	40017
sp|Q9D6J3|YJU2_MOUSE	54119	27818	49120	29035	27375	36958	40392	51165	39165	54816	34010	51099	35764	31543	32683	36805	35651	39165	49062	27392	46935	30037	33510	37302	48107	45821	39165
sp|Q9D8U2|TM41A_MOUSE	27099	26001	28437	27628	31810	40901	82948	75111	41617	33115	27298	29067	27503	27869	54056	104078	29170	41617	30670	29765	28152	30536	26601	44785	83993	71496	41617
sp|Q61624|ZN148_MOUSE	41740	39675	41259	39259	39336	47892	47931	55878	43745	39062	44461	30657	49554	39879	59814	37722	51828	43745	40899	35938	38172	39191	42718	52211	54682	49827	43745
sp|Q3UPH7|ARH40_MOUSE	45410	31628	48969	39396	43204	42853	37852	38650	41343	50873	33645	51390	46514	42129	45161	31552	28806	41343	57507	18601	57382	23506	48846	60956	23650	50184	41343
sp|Q69ZF3|GBA2_MOUSE	35495	50013	35629	38753	39803	43139	36594	30754	38620	31787	35237	35792	48803	36922	44571	38968	37607	38620	36404	42234	37329	39040	40891	38493	39004	34103	38620
sp|Q8BQ47|CNPY4_MOUSE	35432	36302	34215	33424	37797	38780	39128	40501	36778	33710	26689	42613	41526	32730	46605	36357	34047	36778	42420	31510	40532	33681	29675	43716	35945	40335	36778
sp|Q3UQA7|SELH_MOUSE	27794	26552	26776	23216	24345	20891	31863	46798	28533	24149	34012	25092	37611	15279	19700	40407	33904	28533	25979	21340	25454	25534	21846	20490	47457	47842	28533
sp|Q9CXU0|MED10_MOUSE	35341	28413	30182	29183	31387	30925	30773	43264	32461	29322	30289	39136	27683	28549	32214	36836	33963	32461	36212	27047	29824	30131	24526	33569	41934	38654	32461
sp|P31809|CEAM1_MOUSE	45227	52114	58173	42865	43860	37457	629	597	35447	36455	29759	40654	40791	32102	49178	12480	41882	35447	45767	35687	40150	44686	37377	53508	8668	3674	35447
sp|P58468|SLX9_MOUSE	47072	39795	41389	36114	37750	47559	50843	59311	44389	21454	39733	18840	49770	35638	75962	69462	49012	44389	864	25914	1159	26677	80260	112834	53026	47586	44389
sp|Q3UX10|TBAL3_MOUSE	36610	31345	35852	30473	33765	36355	36930	40995	35233	39669	26196	36059	37697	30599	43008	42861	27963	35233	43234	21218	36322	32740	17333	46824	48217	43576	35233
sp|Q5SU73|COIL_MOUSE	37913	38199	35854	32682	36106	41408	36309	39825	37605	26137	50675	28219	36579	60543	32713	26579	35058	37605	34221	35538	40615	36297	34826	32822	45665	40071	37605
sp|Q8BWR4|UBP40_MOUSE	38423	37366	39029	42927	37683	33103	37954	45811	39498	39605	37255	40647	42357	41989	34302	38604	40040	39498	41346	32627	34273	38992	42756	35128	49136	47545	39498
sp|P97927|LAMA4_MOUSE	38853	30970	37832	27711	60405	41151	27359	34817	38414	36583	37452	41009	36943	33153	46275	39852	38803	38414	31791	34700	35269	30202	40638	55857	46174	29129	38414
sp|Q9CRC6|BORC7_MOUSE	23872	30297	25034	32643	29625	30500	35698	35601	30472	33660	23029	24933	35932	28501	36096	35615	29269	30472	23945	26078	28933	31006	29720	31323	38080	34590	30472
sp|O35134|RPA1_MOUSE	30778	33920	29133	31980	27356	33786	50213	48407	35140	30949	37084	31453	35941	33746	36144	41672	34795	35140	28646	31852	31539	33245	38856	37199	37516	49199	35140
sp|Q99M71|EPDR1_MOUSE	36560	30129	29437	34185	20881	31107	40601	115486	41693	42392	36878	36857	55020	28680	35233	56075	46609	41693	45018	31982	28438	37691	24397	34733	72411	72766	41693
tr|E9Q7L1|E9Q7L1_MOUSE	29051	24858	24352	23023	16872	18965	36670	38359	26191	29823	24723	27112	25829	17806	23217	39838	22236	26191	19616	23360	26604	24653	26111	27574	33073	29323	26191
sp|Q9CWY3|SETD6_MOUSE	62793	6177	48645	42003	3572	55572	70660	58519	41430	52340	19388	39056	48296	12596	46187	68460	49632	41430	39965	42685	32092	43310	24870	38754	59520	55939	41430
sp|Q8BHL5|ELMO2_MOUSE	37423	31929	46863	36366	39572	41449	40216	47107	40528	45602	23220	48680	39824	36382	60557	44068	28119	40528	33809	36746	43321	37074	54833	37384	33776	51375	40528
sp|Q6PE15|ABHDA_MOUSE	36970	20513	32209	27506	29019	31427	27751	36769	30042	37324	28163	34578	24313	32738	32997	19202	29728	30042	39781	21169	30165	22873	29296	34393	32400	35541	30042
sp|Q8BIX3|AL14E_MOUSE	40988	47059	39215	36587	36741	33179	36908	46151	39584	44575	37745	38074	40513	37153	40076	40730	39713	39584	34407	33265	37543	34325	39546	43206	46612	55501	39584
sp|Q8VCE2|GPN1_MOUSE	24348	20534	19603	21046	17873	21066	26150	33553	22701	23857	23427	22337	24443	17485	28991	22488	22271	22701	22050	20642	19773	20964	18291	25263	28243	28160	22701
sp|Q9D142|NUD14_MOUSE	32829	28112	34359	28460	38983	34102	56157	64142	39630	34090	37954	42956	42700	34840	32010	49403	38263	39630	32524	29857	38478	36925	35433	49150	51451	44987	39630
sp|P22682|CBL_MOUSE	34091	38040	41266	30581	42298	44102	49545	50417	41116	44529	22233	44042	35461	42285	58007	47789	32827	41116	41465	29316	48465	37500	39759	44878	41608	49530	41116
sp|Q99LC2|CSTF1_MOUSE	27876	29284	32093	26001	22203	22438	16231	14978	24105	20129	10415	30223	31490	18742	26994	29441	23747	24105	26255	19080	23119	24466	21045	25725	27457	29335	24105
sp|Q8BYZ1|ABI3_MOUSE	32055	25353	38541	34547	43591	33261	28624	32508	34175	37785	31894	38192	43151	37305	36265	20696	31671	34175	24905	34928	35103	32553	36912	42659	32528	28679	34175
sp|Q8VHH5|AGAP3_MOUSE	37393	39525	41214	36333	40185	44434	43267	42128	40208	40735	36090	44429	40803	44217	42850	40955	32860	40208	37924	42878	43060	37072	46718	40826	36556	37090	40208
sp|Q99N91|RM34_MOUSE	47035	36903	37203	36754	43052	44546	42004	48645	41895	44150	41633	38348	37718	41037	46391	42766	43454	41895	44915	31742	36128	37372	42754	39101	56843	50073	41895
sp|Q80U56|AVL9_MOUSE	38141	37142	40996	35328	37366	37332	38107	35116	37275	33603	30066	37523	36506	33895	37872	48921	36956	37275	31442	41662	38453	39310	43179	35675	33289	30930	37275
sp|Q62230|SN_MOUSE	38176	15188	68476	21683	39794	56265	38106	47520	40315	39819	16622	55069	24499	63864	65432	29730	17739	40315	46546	17298	54300	26973	51104	43418	46525	37557	40315
sp|P49135|ERCC3_MOUSE	36533	36417	33753	37603	32502	32197	40948	36063	35657	32142	37031	33864	39753	31572	37311	37624	37149	35657	31989	34569	35480	36007	33973	34634	39003	39501	35657
sp|Q8BRM2|GORAB_MOUSE	39892	33047	40961	39077	37472	44051	44040	49637	41025	29163	46364	38395	42451	36296	47602	44515	46319	41025	36001	39273	35311	40320	36095	47180	46793	47836	41025
sp|P33215|NEDD1_MOUSE	41967	33447	39310	34431	38631	39513	43254	46862	39695	49039	38500	44783	38405	38266	35869	36074	35856	39695	38904	32718	40703	32737	44989	41679	43671	44096	39695
sp|Q5SF07|IF2B2_MOUSE	46242	25656	50971	31269	23770	22036	23520	59773	35886	61323	31049	39292	32554	38243	34946	23405	30140	35886	48942	25752	54467	31631	24401	34136	37878	34302	35886
sp|P51830|ADCY9_MOUSE	30932	29908	30065	32973	26713	31233	30665	26498	29525	31441	25152	34481	30257	34409	31302	24974	22046	29525	27402	30899	27557	34523	32370	33183	23154	25608	29525
sp|Q5XF89|AT133_MOUSE	34639	37127	37871	41910	37564	43748	45466	51393	40875	28720	47514	30060	41397	36990	42063	52942	47829	40875	33157	31657	36450	43787	34700	47277	52964	53086	40875
sp|Q6PAR0|KLD10_MOUSE	38445	23449	29956	22922	25888	37623	40863	36461	31068	39140	28838	29328	23416	24154	44242	36287	27663	31068	36394	31468	26320	22152	23354	31207	42508	40345	31068
sp|Q925F2|ESAM_MOUSE	25994	29064	27442	30312	30911	27861	33607	30762	29317	30134	24012	33100	28364	20204	29757	32102	35718	29317	26114	23035	31636	29150	26251	31580	36426	30445	29317
sp|Q8K304|TM129_MOUSE	27984	22577	29198	24484	24672	31064	35880	34478	28384	27373	26138	23015	32061	23774	29751	39917	27937	28384	26062	22539	28931	26359	24328	28998	36630	38608	28384
sp|Q01237|HMDH_MOUSE	11817	18833	15713	20444	13630	38604	84149	136160	40697	17011	62540	20326	28787	21922	45563	68358	64172	40697	5211	11212	10927	14488	12042	43497	162734	76079	40697
sp|Q9JJF3|RIOX1_MOUSE	43182	22483	40721	39057	18544	40718	55634	55462	38469	44651	31489	41421	35792	39423	40912	41189	33897	38469	41345	21300	37056	43263	30634	39078	47388	60852	38469
sp|Q62507|COCH_MOUSE	33671	32048	39287	46291	21990	35829	32307	22291	32504	47572	17129	31688	40247	14600	41162	43771	30096	32504	29818	28781	37449	52329	23431	29229	27942	29730	32504
sp|Q91WU2|S22A7_MOUSE	54417	19387	33749	18023	21192	29176	32727	51324	32420	76170	17035	51502	18655	17692	14167	41029	22381	32420	61024	13470	40206	16956	18953	19282	50253	50885	32420
sp|Q6PGG6|GNL3L_MOUSE	22424	24214	19253	38661	28857	51164	61263	54379	36341	28416	34683	24398	46805	31131	53465	48643	29839	36341	35080	31444	35669	37658	26470	44307	40439	41448	36341
sp|Q8C5L3|CNOT2_MOUSE	37980	37026	39120	35046	39414	39684	38719	40164	38544	44167	31823	38625	42920	31838	41653	40373	38116	38544	42411	31634	40274	37546	33329	40942	43339	36713	38544
sp|P50428|ARSA_MOUSE	37813	38077	20833	27841	32005	45134	68176	50046	38714	40260	36216	28223	41980	28173	61352	52058	32388	38714	43921	46531	28455	32585	25458	35106	53204	48947	38714
sp|Q8BFV2|PCID2_MOUSE	39605	40930	40284	37194	41578	42526	42713	42116	40584	40145	30569	31066	37984	68970	51165	33505	28035	40584	38361	36380	34326	31063	53416	49926	44057	36475	40584
sp|Q99KE1|MAOM_MOUSE	38106	23648	51944	35490	33229	39739	46189	53328	39893	36713	33393	43318	43505	43081	39412	37419	39207	39893	37307	29747	50607	38713	34832	43006	42700	46645	39893
sp|Q9EPB4|ASC_MOUSE	27917	40684	36336	33587	37235	32662	41424	55504	37905	34979	30285	35455	48923	32800	39240	39488	44743	37905	24334	37121	36387	38447	51818	42502	31999	34794	37905
sp|Q91WG5|AAKG2_MOUSE	42059	33382	39681	39122	31105	29688	25887	30604	34207	36048	28440	39821	35423	33329	28678	30398	40776	34207	34024	30298	38749	39945	34192	31952	28552	37458	34207
sp|Q9Z255|UBE2A_MOUSE	33261	35818	33609	27718	33567	34422	34736	39991	34338	35154	39705	35321	29208	29813	41551	33958	34962	34338	32978	32959	36584	34076	27646	32058	41838	39431	34338
sp|P97348|RHOD_MOUSE	36017	34391	37940	30711	38896	46570	31726	26974	35433	34278	28739	37333	28587	40051	49636	35778	28255	35433	37279	29414	35762	36531	38222	52436	28151	19070	35433
sp|Q2NL51|GSK3A_MOUSE	10586	9764	12068	20656	17537	3848	21898	13185	14803	19752	7416	13511	16008	6041	20764	20147	17415	14803	18560	10475	15194	14453	10193	19325	16086	14888	14803
sp|Q62074|KPCI_MOUSE	30792	28021	27009	28157	24802	30030	29146	34211	28975	27735	25096	29452	30341	24425	33195	30169	30654	28975	28004	22011	31196	24741	35011	30246	29409	31849	28975
sp|P23950|TISB_MOUSE	36599	26144	37046	32858	40352	28017	22565	38956	33514	32704	28956	36221	33345	41737	36168	27626	30871	33514	29884	31169	34482	38604	40774	29227	27747	37024	33514
sp|Q99MJ9|DDX50_MOUSE	19859	14940	19525	17459	20058	20558	20047	23926	19517	18832	16730	19730	25578	5400	32889	26647	13874	19517	18760	15543	18372	15989	18220	22691	24919	24448	19517
sp|Q8CFJ9|WDR24_MOUSE	52656	29076	44249	33268	28985	45342	38709	42054	38544	38902	28999	34330	35260	44002	45091	47704	35121	38544	33364	37130	36931	42104	36381	39992	43348	42221	38544
sp|Q9ESN6|TRIM2_MOUSE	53223	14557	37618	25099	21852	38881	50567	53181	36113	45045	32738	43343	26294	34725	33134	35825	36118	36113	52801	18319	35393	26869	32480	36180	46768	44119	36113
sp|Q8BUB4|WDFY2_MOUSE	26569	27514	26693	22283	25601	23162	23414	25712	25117	28766	19791	26743	22288	22934	28106	28378	24423	25117	29327	19711	25083	21699	21937	29729	27286	27156	25117
sp|Q61214|DYR1A_MOUSE	34918	30324	36437	29518	28531	30732	31934	36703	32591	33406	28194	37639	33462	29096	36504	33905	29013	32591	25754	31922	29580	43556	37875	34084	24973	31074	32591
